Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad
mV	uA	mV	uA	mV	uA	mV	uA	mV	uA	mV	uA	mV	uA	mV	uA	mV	uA	mV	uA	mV	uA	mV	uA	mV	uA
HQ t0	HQ t0	HQ t1	HQ t1	HQ t2	HQ t2	HQ t3	HQ t3	HQ t4	HQ t4	HQ t5	HQ t5	HQ t6	HQ t6	HQ t7	HQ t7	HQ t8	HQ t8	HQ t9	HQ t9	HQ t10	HQ t10	HQ t11	HQ t11	HQ Au	HQ Au
283.7542	0.819446	283.7278	0.260952	283.6843	0.238445	283.6657	0.292516	283.65	0.319622	283.6452	0.300222	283.5958	0.492412	283.6058	0.280543	283.6066	0.18703	283.5808	0.246383	283.5868	0.222012	263.633	0.193017	263.623	0.262197
284.7589	0.832792	284.7352	0.264738	284.7029	0.242085	284.6715	0.295891	284.6612	0.327296	284.6475	0.307454	284.6051	0.501268	284.6112	0.284992	284.6085	0.19081	284.5831	0.253572	284.602	0.226268	264.6355	0.198184	264.6338	0.265399
285.7941	0.847263	285.7515	0.267089	285.7126	0.245314	285.6863	0.301155	285.6834	0.333469	285.6464	0.315407	285.5876	0.511146	285.5995	0.290607	285.6059	0.195209	285.5948	0.258567	285.6012	0.229843	265.6161	0.202244	265.6334	0.267658
286.7933	0.861917	286.7618	0.271706	286.7177	0.248414	286.682	0.304335	286.6926	0.338475	286.6501	0.321391	286.5788	0.519724	286.5998	0.295781	286.606	0.197334	286.5973	0.263058	286.561	0.23385	266.6337	0.205781	266.6373	0.269053
287.783	0.87773	287.7527	0.275918	287.7092	0.250273	287.6755	0.310222	287.6769	0.343838	287.6519	0.32796	287.5748	0.528558	287.6095	0.302445	287.6173	0.199254	287.5875	0.268969	287.5672	0.23847	267.6482	0.207914	267.6401	0.270124
288.782	0.891093	288.7471	0.276936	288.6764	0.253095	288.6717	0.31647	288.6725	0.351663	288.6488	0.335067	288.5506	0.537784	288.6071	0.308667	288.6073	0.198351	288.5737	0.272829	288.5459	0.243472	268.6559	0.210708	268.6262	0.274079
289.7764	0.905823	289.733	0.279961	289.6783	0.257585	289.6649	0.319687	289.6687	0.360247	289.6547	0.342613	289.578	0.548345	289.616	0.316219	289.6092	0.198704	289.5572	0.278523	289.5604	0.248606	269.6653	0.214122	269.6242	0.276806
290.8156	0.920958	290.7468	0.282057	290.6994	0.261072	290.6791	0.319601	290.69	0.369044	290.6526	0.350655	290.6041	0.562109	290.6242	0.323708	290.611	0.201121	290.5649	0.286946	290.5877	0.254719	270.6367	0.218344	270.6196	0.278774
291.8369	0.935447	291.7564	0.283431	291.7018	0.26299	291.6942	0.321118	291.6855	0.374018	291.638	0.356523	291.6124	0.574122	291.6279	0.329344	291.6204	0.203372	291.5537	0.291321	291.5947	0.259421	271.6252	0.224239	271.6213	0.280936
292.8507	0.951902	292.7801	0.285174	292.7007	0.262399	292.6848	0.31476	292.6819	0.379379	292.6452	0.361519	292.6223	0.585702	292.6327	0.335623	292.6359	0.207114	292.5873	0.29721	292.6061	0.263496	272.6121	0.229179	272.6269	0.280111
