Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad
mv	ua	mv	ua	mv	ua	mv	ua
FcAu		FcMeso		RuAds		Mediacion	
160.831	10.11175	160.7618	1.169444	-338.8734	11.89465	-338.9025	7.53475
161.836	10.33736	161.7558	1.190222	-337.8875	12.05105	-337.8826	7.68187
162.8384	10.54475	162.7634	1.206102	-336.8792	12.22528	-336.8654	7.842752
163.8326	10.76293	163.7438	1.22284	-335.872	12.39293	-335.8533	7.989163
164.8498	10.99088	164.7658	1.241039	-334.8678	12.55337	-334.8392	8.129839
165.8463	11.19985	165.7652	1.256409	-333.8516	12.71381	-333.8425	8.274085
166.8431	11.44576	166.7558	1.275331	-332.8667	12.85403	-332.8656	8.390672
167.864	11.68569	167.7578	1.293437	-331.8838	12.99156	-331.8706	8.516819
168.8758	11.91271	168.7619	1.30941	-330.8971	13.13159	-330.89	8.655677
169.8941	12.15373	169.7552	1.328092	-329.9069	13.25751	-329.8909	8.777594
170.8905	12.37003	170.7581	1.34636	-328.9038	13.39285	-328.8983	8.914724
171.8747	12.56936	171.7737	1.366685	-327.9036	13.53261	-327.9008	9.055649
172.8571	12.7771	172.7682	1.386442	-326.9015	13.67293	-326.9111	9.193786
173.8365	12.98954	173.7671	1.403932	-325.9171	13.82854	-325.9126	9.344078
174.8497	13.21612	174.7829	1.421047	-324.9244	13.98001	-324.8871	9.491243
175.8415	13.44447	175.782	1.434153	-323.915	14.13228	-323.8717	9.637475
176.8494	13.68039	176.7813	1.44641	-322.9079	14.27463	-322.8477	9.768337
177.8586	13.91241	177.8045	1.460364	-321.8956	14.39745	-321.8372	9.879165
178.8412	14.10611	178.7844	1.472355	-320.8853	14.51321	-320.8586	9.98896
179.8658	14.31495	179.7813	1.486812	-319.9048	14.6186	-319.8801	10.09057
180.8588	14.51846	180.7741	1.50448	-318.9108	14.73095	-318.8939	10.19873
181.8351	14.67968	181.7457	1.519966	-317.8948	14.85654	-317.8889	10.32668
182.8358	14.87167	182.7655	1.5373	-316.9009	14.98259	-316.8618	10.45473
183.8244	15.05793	183.7613	1.552712	-315.8789	15.11552	-315.8653	10.58368
184.8252	15.22945	184.7573	1.56536	-314.8755	15.24858	-314.8345	10.71356
185.8285	15.44128	185.7802	1.57856	-313.8724	15.36485	-313.8458	10.82652
186.8439	15.66059	186.7711	1.588884	-312.8492	15.48654	-312.8435	10.94024
187.8492	15.87683	187.7871	1.601387	-311.837	15.60079	-311.8315	11.04778
188.8458	16.073	188.8008	1.611874	-310.8169	15.70153	-310.8328	11.14933
189.8555	16.25024	189.7755	1.621612	-309.821	15.8017	-309.8125	11.25075
190.8606	16.40056	190.7819	1.632961	-308.8208	15.88858	-308.8246	11.33679
191.8405	16.51654	191.7749	1.643045	-307.8391	15.97019	-307.8131	11.4225
192.838	16.64814	192.7676	1.655515	-306.8515	16.05668	-306.834	11.51461
193.844	16.80199	193.7996	1.668657	-305.8598	16.15042	-305.8448	11.60672
194.8369	16.92916	194.789	1.67844	-304.8527	16.25233	-304.8337	11.70865
195.8535	17.08199	195.787	1.687361	-303.8619	16.34297	-303.8381	11.80136
196.886	17.25458	196.7982	1.695241	-302.8652	16.42624	-302.8333	11.87918
197.8991	17.3813	197.7768	1.700897	-301.8618	16.50388	-301.8395	11.95314
198.8968	17.53158	198.7952	1.709392	-300.8889	16.55656	-300.8585	12.01034
199.908	17.66428	199.7943	1.716515	-299.8896	16.61887	-299.8719	12.07716
