WE1 Volts(mV)    WE1 Idir (uA)		WE1 Volts(mV)    WE1 Idir (uA)		WE1 Volts(mV)    WE1 Idir (uA)		WE1 Volts(mV)    WE1 Idir (uA)	
Ru Adsorbido con HQ 5mM.teq4_2col	Ru Adsorbido con HQ 5mM.teq4_2col	Ru 0.63mM Ciclado - 20 Ciclos 1.teq4_2col	Ru 0.63mM Ciclado - 20 Ciclos 1.teq4_2col	Ru 0.63mM Ciclado - 20 Ciclos 2.teq4_2col	Ru 0.63mM Ciclado - 20 Ciclos 2.teq4_2col	Ru Adsorbido con HQ 5mM 20 ciclos.teq4_2col	Ru Adsorbido con HQ 5mM 20 ciclos.teq4_2col
-381.8922	-0.841729	-381.9045	-2.867121	-381.9793	3.878831	-381.9252	-3.056479
-380.8987	-0.792936	-380.9127	-2.86183	-380.9873	3.975186	-380.9176	-3.033982
-379.9094	-0.737334	-379.9064	-2.854602	-379.9648	4.08807	-379.9248	-3.014128
-378.9155	-0.680317	-378.9048	-2.845996	-378.9553	4.196173	-378.9087	-2.986151
-377.9501	-0.629139	-377.9114	-2.837717	-377.9675	4.297228	-377.9307	-2.96681
-376.9723	-0.570611	-376.8956	-2.830536	-376.9591	4.41749	-376.9201	-2.94004
-375.9553	-0.510201	-375.8872	-2.824839	-375.9889	4.52727	-375.9077	-2.91157
-374.9711	-0.452398	-374.8744	-2.820475	-374.969	4.644465	-374.9165	-2.887931
-373.9556	-0.388231	-373.8666	-2.816421	-373.9425	4.77015	-373.9145	-2.856032
-372.9453	-0.325956	-372.8782	-2.810172	-372.9347	4.877123	-372.9149	-2.830742
-371.9656	-0.264345	-371.895	-2.804929	-371.9111	4.997427	-371.9072	-2.804533
-370.9509	-0.19951	-370.905	-2.798879	-370.9234	5.111126	-370.9108	-2.7767
-369.95	-0.134111	-369.9393	-2.792855	-369.9586	5.230057	-369.9435	-2.748469
-368.9399	-0.058397	-368.9467	-2.786114	-368.975	5.36298	-368.9485	-2.711471
-367.9296	0.010709	-367.9278	-2.777992	-367.9875	5.485716	-367.951	-2.682772
-366.9423	0.083641	-366.9135	-2.770713	-367.0134	5.616986	-366.9474	-2.652958
-365.9337	0.164223	-365.886	-2.762098	-366.0098	5.751682	-365.9063	-2.619023
-364.9478	0.238332	-364.8646	-2.756873	-365.0003	5.876454	-364.9177	-2.589337
-363.9225	0.323083	-363.8658	-2.750098	-363.9948	6.014426	-363.9102	-2.546669
-362.9094	0.408834	-362.862	-2.743903	-362.9441	6.167522	-362.9059	-2.504311
-361.9013	0.487206	-361.8468	-2.738794	-361.9234	6.294416	-361.9011	-2.469926
-360.8948	0.568906	-360.8409	-2.731085	-360.9213	6.435483	-360.8926	-2.434617
-359.9171	0.654566	-359.8495	-2.725298	-359.9046	6.568341	-359.8924	-2.398316
-358.915	0.729435	-358.8751	-2.718444	-358.9243	6.683156	-358.8979	-2.362565
-357.9254	0.814569	-357.8885	-2.710499	-357.9184	6.831185	-357.91	-2.321981
-356.9111	0.897702	-356.9003	-2.701317	-356.9367	6.962373	-356.922	-2.280586
-355.906	0.985066	-355.9062	-2.692383	-355.9492	7.10557	-355.9522	-2.240006
-354.9173	1.079916	-354.8909	-2.68373	-354.9467	7.2469	-354.9567	-2.193606
-353.8989	1.167227	-353.8892	-2.675791	-353.9674	7.378166	-353.9772	-2.150529
-352.9345	1.262969	-352.9135	-2.66956	-352.9623	7.524609	-352.9674	-2.103262
-351.945	1.350638	-351.9207	-2.662267	-351.9785	7.664802	-351.9407	-2.059877
-350.9528	1.451551	-350.9295	-2.655269	-350.9992	7.813459	-350.9447	-2.014954
-349.9598	1.56343	-349.9348	-2.647982	-349.9737	7.971072	-349.9262	-1.954958
-348.9449	1.661017	-348.9371	-2.641784	-348.9746	8.119437	-348.9174	-1.907067
-347.9484	1.763167	-347.9305	-2.634984	-347.9751	8.270311	-347.9404	-1.856099
-346.9384	1.862846	-346.93	-2.626821	-346.9513	8.418923	-346.9413	-1.80704
-345.959	1.961039	-345.932	-2.619569	-345.9757	8.557091	-345.9605	-1.764483
-344.9609	2.07122	-344.9081	-2.61026	-344.9794	8.703447	-344.9868	-1.710396
-343.9616	2.184564	-343.8878	-2.601934	-343.9684	8.853055	-343.9609	-1.653113
-342.9648	2.291979	-342.8916	-2.595436	-342.9837	9.003716	-342.9557	-1.599843
-341.9492	2.405465	-341.8969	-2.586924	-341.983	9.155018	-341.9528	-1.544299
