Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad
mV	uA	mV	uA	mV	uA	mV	uA	mV	uA	mV	uA	mV	uA
Ferroceno t=0	Ferroceno t=0	Ferroceno t=8min	Ferroceno t=8min	Ferroceno t=15min	Ferroceno t=15min	Ferroceno t=27min	Ferroceno t=27min	Feroceno t=45min	Feroceno t=45min	Ferroceno t=69min	Ferroceno t=69min	Ferroceno t=99min	Ferroceno t=99min
-101.318	0.053114	-101.3218	-0.108949	-101.2939	-0.178618	-101.3183	-0.120659	-101.3246	-0.044042	-101.3402	-0.022126	-101.2955	-0.011584
-100.3141	0.055048	-100.3286	-0.106611	-100.3037	-0.175256	-100.3367	-0.117501	-100.3247	-0.041424	-100.3475	-0.01899	-100.3043	-0.008742
-99.3176	0.057283	-99.31182	-0.105254	-99.31448	-0.173774	-99.35175	-0.116097	-99.32918	-0.037684	-99.35815	-0.015926	-99.30326	-0.005134
-98.31742	0.057824	-98.28931	-0.104465	-98.32566	-0.170059	-98.38371	-0.114699	-98.31675	-0.035668	-98.34	-0.013035	-98.33684	-0.002768
-97.34686	0.057968	-97.30478	-0.10376	-97.341	-0.166631	-97.37877	-0.111723	-97.32196	-0.035003	-97.35504	-0.011134	-97.36147	5.98E-4
-96.34785	0.058081	-96.30083	-0.101335	-96.35352	-0.163662	-96.36895	-0.109438	-96.33081	-0.033786	-96.3536	-0.008816	-96.37489	0.003895
-95.35162	0.058336	-95.32881	-0.099879	-95.36877	-0.16057	-95.38	-0.106076	-95.33167	-0.03199	-95.37382	-0.007446	-95.38261	0.007424
-94.37545	0.0607	-94.35619	-0.097836	-94.37847	-0.158823	-94.38895	-0.102549	-94.34643	-0.030518	-94.3898	-0.005666	-94.37975	0.011097
-93.35472	0.063707	-93.32304	-0.095066	-93.38466	-0.157019	-93.37329	-0.099717	-93.33366	-0.027417	-93.36668	-0.003535	-93.35476	0.014197
-92.36634	0.065576	-92.36053	-0.093558	-92.35446	-0.155382	-92.36572	-0.097203	-92.35463	-0.025384	-92.36373	-0.002276	-92.33579	0.015942
-91.37186	0.06641	-91.35727	-0.091895	-91.34444	-0.153733	-91.34846	-0.095674	-91.36119	-0.022368	-91.33865	2.89E-4	-91.34694	0.01646
-90.34429	0.067565	-90.34213	-0.089068	-90.34329	-0.151271	-90.31913	-0.092799	-90.35262	-0.020221	-90.33891	0.002985	-90.33511	0.018006
-89.36192	0.066968	-89.36146	-0.085975	-89.3507	-0.148944	-89.33599	-0.090289	-89.35813	-0.01847	-89.36922	0.004915	-89.35968	0.019144
-88.35974	0.067445	-88.34665	-0.082755	-88.37098	-0.145911	-88.34412	-0.0885	-88.35104	-0.015492	-88.38913	0.007962	-88.38504	0.02121
-87.37923	0.06835	-87.33653	-0.079828	-87.38098	-0.142647	-87.35855	-0.0857	-87.34129	-0.014134	-87.4044	0.010881	-87.35191	0.024693
-86.38597	0.067767	-86.34573	-0.079124	-86.37658	-0.13993	-86.35207	-0.084777	-86.36429	-0.010713	-86.3996	0.013087	-86.36965	0.027769
-85.38255	0.069176	-85.33482	-0.078203	-85.34717	-0.138499	-85.36038	-0.083654	-85.39095	-0.007963	-85.38902	0.01681	-85.35007	0.030824
-84.37432	0.070134	-84.32008	-0.076938	-84.35944	-0.135221	-84.37369	-0.080969	-84.3815	-0.006073	-84.37012	0.01917	-84.34816	0.03422
-83.34816	0.071412	-83.31348	-0.075383	-83.34203	-0.131427	-83.37907	-0.079229	-83.38197	-0.005417	-83.36263	0.020416	-83.38833	0.036393
-82.35215	0.074258	-82.32699	-0.072699	-82.34532	-0.129979	-82.40688	-0.076501	-82.37144	-0.004391	-82.35432	0.021754	-82.36885	0.038496
-81.33507	0.075739	-81.34408	-0.070583	-81.35649	-0.125813	-81.40511	-0.074261	-81.35511	-0.003994	-81.32985	0.021471	-81.36277	0.040768
-80.33106	0.077497	-80.35167	-0.068616	-80.32906	-0.123994	-80.38078	-0.07208	-80.3287	-0.00139	-80.33955	0.023456	-80.34981	0.042356
-79.32677	0.078152	-79.35242	-0.068111	-79.35927	-0.124806	-79.35222	-0.070178	-79.33218	5.48E-4	-79.35685	0.025086	-79.32545	0.043526
