E	DD = 0	DD = 0.05	DD = 0.1	DD = 0.15	DD = 0.2	DD = 0.25
0.588	3.07427	3.32318	3.60805	1.87605	0.1755	0.00443
0.5908	3.06453	3.31178	3.59518	1.87156	0.17505	0.00442
0.5936	3.05486	3.3005	3.58243	1.86712	0.1746	0.0044
0.5964	3.04527	3.28932	3.56978	1.86271	0.17416	0.00439
0.5992	3.03574	3.27826	3.55724	1.85833	0.17372	0.00438
0.602	3.02628	3.26731	3.54479	1.85399	0.17328	0.00437
0.6048	3.01689	3.25647	3.53245	1.84968	0.17285	0.00436
0.6076	3.00757	3.24574	3.52021	1.8454	0.17243	0.00434
0.6104	2.99832	3.23513	3.50806	1.84115	0.172	0.00433
0.6132	2.98914	3.22462	3.496	1.83693	0.17158	0.00432
0.616	2.98003	3.21423	3.48409	1.83275	0.17116	0.00431
0.6188	2.97099	3.20369	3.4723	1.82859	0.17075	0.0043
0.6216	2.96202	3.19318	3.46062	1.82445	0.17034	0.00429
0.6244	2.95311	3.18276	3.44903	1.82035	0.16993	0.00428
0.6272	2.94428	3.17242	3.43754	1.81627	0.16953	0.00427
0.63	2.93552	3.16218	3.42614	1.81222	0.16912	0.00426
0.6328	2.92683	3.15202	3.41484	1.8082	0.16872	0.00424
0.6356	2.9182	3.14195	3.40363	1.8042	0.16833	0.00423
0.6384	2.90965	3.13198	3.39251	1.80023	0.16793	0.00422
0.6412	2.90116	3.12209	3.38148	1.79628	0.16754	0.00421
0.644	2.89275	3.11229	3.37053	1.79236	0.16716	0.0042
0.6468	2.8844	3.10258	3.35968	1.78845	0.16677	0.00419
0.6496	2.87613	3.09295	3.3489	1.78459	0.16639	0.00418
0.6524	2.86792	3.08342	3.33821	1.78077	0.16601	0.00417
0.6552	2.85978	3.07398	3.3276	1.77698	0.16563	0.00416
0.658	2.85172	3.06462	3.31707	1.77321	0.16526	0.00415
0.6608	2.84372	3.05535	3.30662	1.76946	0.16489	0.00414
0.6636	2.83579	3.04617	3.29627	1.76574	0.16452	0.00413
0.6664	2.82793	3.03709	3.28603	1.76205	0.16416	0.00412
0.6692	2.82014	3.02809	3.27588	1.75838	0.1638	0.00411
0.672	2.81243	3.01917	3.26582	1.75473	0.16344	0.0041
0.6748	2.80478	3.01035	3.25583	1.75111	0.16308	0.00409
0.6776	2.79699	3.00162	3.24592	1.74751	0.16273	0.00408
0.6804	2.78923	2.99297	3.2361	1.74394	0.16238	0.00407
0.6832	2.78152	2.98442	3.22635	1.74038	0.16203	0.00406
0.686	2.77388	2.97595	3.21669	1.73685	0.16168	0.00405
0.6888	2.76629	2.96758	3.20709	1.73334	0.16134	0.00405
