Funcionalizado DHDP 3mM	Funcionalizado DHDP 3mM
mV	uA
Primeros 45	Primeros 45
-66.25516	0.001143216
-67.26328	-0.007645038
-68.29147	-0.01487708
-69.31963	-0.0221322
-70.33031	-0.02994049
-71.32408	-0.03763758
-72.31559	-0.04828175
-73.311	-0.05910557
-74.30312	-0.06747346
-75.3	-0.07811954
-76.28133	-0.08679008
-77.25575	-0.09513792
-78.23627	-0.1075558
-79.23624	-0.1177365
-80.23697	-0.1287111
-81.24879	-0.1396516
-82.2605	-0.1476778
-83.26691	-0.1571934
-84.2655	-0.1663868
-85.27599	-0.1772342
-86.27539	-0.1895789
-87.28099	-0.1997353
-88.30123	-0.2127399
-89.2788	-0.2243892
-90.26516	-0.2352375
-91.25412	-0.2515762
-92.23792	-0.2642395
-93.24516	-0.2779189
-94.24382	-0.2926794
-95.25545	-0.3032844
-96.25134	-0.3157079
-97.26866	-0.3302172
-98.28348	-0.3450715
-99.28355	-0.3605056
-100.287	-0.3768622
-101.2664	-0.391574
-102.2518	-0.4048615
-103.2235	-0.4196267
-104.2146	-0.4366624
-105.2193	-0.4536308
-106.2232	-0.4713064
-107.2377	-0.4919721
-108.2437	-0.5098329
-109.2426	-0.5281628
-110.2418	-0.5497748
-111.2539	-0.5680391
-112.2679	-0.5883962
-113.2895	-0.6087591
-114.2977	-0.6269332
-115.2873	-0.6465495
-116.2717	-0.6663815
-117.2787	-0.690276
-118.298	-0.7153057
-119.3273	-0.7396762
-120.339	-0.7662299
-121.3299	-0.7887567
-122.311	-0.8096573
-123.2926	-0.8344191
-124.3038	-0.8591338
-125.2814	-0.8853872
-126.2861	-0.9149411
-127.2905	-0.9422354
-128.2595	-0.9695914
-129.2578	-0.9977803
-130.2479	-1.027765
-131.2285	-1.058501
-132.2412	-1.089647
-133.26	-1.123512
-134.2645	-1.156781
-135.2659	-1.190119
-136.2902	-1.225672
-137.2848	-1.260358
-138.2997	-1.293676
-139.2909	-1.331943
-140.2649	-1.367761
-141.2601	-1.403436
-142.2443	-1.445879
-143.2657	-1.484916
-144.2845	-1.52736
-145.2962	-1.572234
-146.3158	-1.614046
-147.3156	-1.658655
-148.2761	-1.702549
-149.269	-1.748495
-150.2693	-1.795851
-151.2518	-1.84266
-152.2861	-1.892458
-153.2657	-1.94284
-154.2307	-1.99208
-155.2395	-2.047596
-156.2282	-2.103133
-157.2301	-2.157576
-158.259	-2.215623
-159.2575	-2.271446
-160.2426	-2.327014
-161.2655	-2.38697
-162.2567	-2.44767
-163.257	-2.511527
-164.2846	-2.577365
-165.2846	-2.643502
-166.2716	-2.710934
-167.2585	-2.775888
-168.2499	-2.845436
-169.2464	-2.916042
-170.2567	-2.986448
-171.2839	-3.061759
-172.2973	-3.1357
-173.29	-3.209967
-174.3041	-3.288617
-175.2969	-3.366949
-176.2832	-3.446572
-177.2915	-3.527636
-178.2711	-3.605789
-179.2612	-3.68599
-180.2346	-3.767982
-181.213	-3.854194
-182.205	-3.946908
-183.194	-4.038999
-184.2264	-4.134429
-185.2429	-4.229244
-186.2457	-4.319954
-187.2538	-4.416583
-188.2595	-4.511411
-189.2606	-4.605792
-190.2672	-4.705956
-191.2536	-4.803237
-192.2207	-4.902588
-193.2249	-5.0081
-194.2207	-5.113946
-195.2289	-5.223047
-196.2564	-5.331277
-197.2469	-5.437404
-198.2388	-5.543242
-199.2403	-5.648131
-200.21	-5.760186
-201.2168	-5.87376
-202.2246	-5.985775
-203.233	-6.104414
-204.2213	-6.218767
-205.182	-6.331223
-206.1763	-6.451452
-207.1532	-6.568808
-208.165	-6.687257
-209.1804	-6.811936
-210.1698	-6.932726
-211.187	-7.054103
-212.1921	-7.178956
-213.2049	-7.305139
-214.2378	-7.433784
-215.2352	-7.559749
-216.2377	-7.685508
-217.2313	-7.806147
-218.219	-7.924204
-219.2058	-8.051459
-220.2191	-8.179204
-221.2189	-8.309064
-222.2254	-8.443357
-223.2438	-8.572193
-224.2364	-8.698181
-225.2263	-8.826017
-226.2172	-8.950514
-227.2094	-9.075102
-228.2185	-9.198254
-229.2268	-9.319166
-230.2159	-9.441186
-231.2163	-9.559053
-232.2093	-9.68538
-233.219	-9.814443
-234.2165	-9.938238
-235.2257	-10.06844
-236.2322	-10.19198
-237.2285	-10.30892
-238.2404	-10.43201
-239.2309	-10.5512
-240.2279	-10.67003
-241.244	-10.79083
-242.2553	-10.90635
-243.2622	-11.02234
-244.2499	-11.13684
-245.2361	-11.25275
-246.2346	-11.37079
-247.2326	-11.48037
-248.2398	-11.58974
-249.2537	-11.69513
-250.2298	-11.79282
-251.2338	-11.89999
-252.2453	-12.00465
-253.22	-12.10578
-254.235	-12.21064
-255.2206	-12.30698
-256.1999	-12.39971
-257.2013	-12.49514
-258.1941	-12.58811
-259.2074	-12.68293
-260.218	-12.77744
-261.2264	-12.86922
-262.2317	-12.95932
-263.2367	-13.04483
-264.2387	-13.13263
-265.25	-13.2183
-266.2461	-13.29671
-267.2421	-13.37593
-268.2399	-13.44732
-269.2174	-13.51046
-270.2309	-13.58254
-271.2442	-13.65043
-272.2512	-13.71927
-273.2834	-13.78929
-274.2864	-13.84969
-275.2685	-13.90812
-276.2785	-13.96333
-277.262	-14.01814
-278.253	-14.07244
-279.2478	-14.11918
-280.2319	-14.16401
-281.2448	-14.20744
-282.2184	-14.24039
-283.2152	-14.28502
-284.2098	-14.32691
-285.1901	-14.36511
-286.2318	-14.40994
-287.2457	-14.44092
-288.2387	-14.4668
-289.2513	-14.49268
-290.2572	-14.51579
-291.2564	-14.54003
-292.2731	-14.56327
-293.2481	-14.58553
-294.2288	-14.60495
-295.2278	-14.61993
-296.2263	-14.63807
-297.2645	-14.65226
-298.2595	-14.65769
-299.266	-14.6662
-300.2668	-14.66904
-301.2516	-14.66599
-302.2487	-14.67116
-303.2293	-14.67255
-304.2219	-14.67141
-305.2166	-14.67072
-306.2209	-14.66402
-307.2198	-14.6517
-308.2029	-14.63835
-309.2013	-14.62777
-310.2062	-14.61719
-311.2198	-14.60563
-312.2256	-14.59558
-313.22	-14.58127
-314.2207	-14.56258
-315.2231	-14.54742
-316.2428	-14.52729
-317.2348	-14.50281
-318.2191	-14.4794
-319.2152	-14.44805
-320.2054	-14.41518
-321.2136	-14.38507
-322.2226	-14.35392
-323.2366	-14.32689
-324.2514	-14.29939
-325.2631	-14.26765
-326.2818	-14.23374
-327.2586	-14.19281
-328.2613	-14.1519
-329.2574	-14.11119
-330.2399	-14.06855
-331.2368	-14.02912
-332.213	-13.98718
-333.2007	-13.94272
-334.2064	-13.90214
-335.2242	-13.85903
-336.2345	-13.81673
-337.2524	-13.77372
-338.26	-13.72429
-339.2579	-13.6753
-340.2661	-13.62414
-341.2604	-13.57394
-342.2484	-13.52789
-343.243	-13.47874
-344.2488	-13.43052
-345.2423	-13.37935
-346.2166	-13.32316
-347.2177	-13.27059
-348.2259	-13.21803
-349.2255	-13.16547
-350.2686	-13.11669
-351.2755	-13.06385
-352.2708	-13.00774
-353.2743	-12.95472
-354.2638	-12.90088
-355.2509	-12.84596
-356.2316	-12.79214
-357.2314	-12.73588
-358.221	-12.67737
-359.2136	-12.61905
-360.2115	-12.56409
-361.1925	-12.50843
-362.1892	-12.45354
-363.2053	-12.40209
-364.2064	-12.34604
-365.2278	-12.28813
-366.2505	-12.23417
-367.2547	-12.17725
-368.262	-12.12172
-369.2642	-12.06954
-370.245	-12.01361
-371.2214	-11.9578
-372.218	-11.90319
-373.2292	-11.84893
-374.252	-11.79563
-375.2719	-11.74175
-376.2745	-11.688
-377.2559	-11.63292
-378.2428	-11.57546
-379.2423	-11.52034
-380.2422	-11.46489
-381.254	-11.40974
-382.2477	-11.35756
-383.2317	-11.30346
-384.231	-11.24842
-385.2099	-11.19587
-386.1967	-11.14487
-387.2055	-11.09489
-388.2039	-11.0455
-389.213	-10.99517
-390.2297	-10.94481
-391.2271	-10.89293
-392.2206	-10.84324
-393.233	-10.79406
-394.2368	-10.74296
-395.2327	-10.69536
-396.2214	-10.64649
