Sin Funcionlizar	Sin Funcionlizar
mV	uA
Primeros 45	Primeros 45
-88.16424	-0.112001
-89.15471	-0.1100804
-90.15005	-0.1091729
-91.16455	-0.118146
-92.14973	-0.1191287
-93.15825	-0.1199927
-94.17868	-0.1082448
-95.18307	-0.09603799
-96.17884	-0.09120636
-97.1662	-0.08652846
-98.15472	-0.07174367
-99.15064	-0.02354693
-100.1529	0.006264226
-101.1324	0.03370264
-102.1227	0.03576362
-103.106	0.01444622
-104.1068	0.009978053
-105.1493	0.005398334
-106.1597	-0.01524219
-107.1893	-0.06900226
-108.2057	-0.1173468
-109.1829	-0.1607137
-110.182	-0.1885253
-111.1696	-0.1782036
-112.1705	-0.1680157
-113.2089	-0.1610582
-114.2226	-0.1505338
-115.2367	-0.147771
-116.2378	-0.1489898
-117.2416	-0.1492954
-118.2365	-0.1467853
-119.2283	-0.1436812
-120.2446	-0.142461
-121.2252	-0.1415001
-122.2133	-0.1413785
-123.2312	-0.1438206
-124.2361	-0.1449486
-125.2142	-0.1462742
-126.2313	-0.1476122
-127.2066	-0.147934
-128.1821	-0.148134
-129.1889	-0.1499097
-130.1714	-0.1517184
-131.1937	-0.1532018
-132.1956	-0.1553531
-133.1996	-0.1566888
-134.2188	-0.1581306
-135.1914	-0.1588099
-136.2145	-0.1596703
-137.2307	-0.1598396
-138.2071	-0.1601274
-139.2133	-0.1610575
-140.181	-0.162525
-141.1712	-0.1645784
-142.1877	-0.1671244
-143.205	-0.1690382
-144.2077	-0.1702797
-145.2209	-0.1705158
-146.2093	-0.1705684
-147.1951	-0.1723502
-148.1962	-0.1745794
-149.1934	-0.1779206
-150.2088	-0.1813465
-151.198	-0.1833069
-152.2027	-0.1864919
-153.1816	-0.1884094
-154.1618	-0.1894384
-155.1803	-0.19224
-156.1862	-0.1921861
-157.185	-0.1933118
-158.1885	-0.196412
-159.1653	-0.19752
-160.1763	-0.1990905
-161.1861	-0.2022778
-162.1975	-0.2037484
-163.2191	-0.205624
-164.2115	-0.2073606
-165.2047	-0.2082432
-166.1976	-0.2108264
-167.1812	-0.213796
-168.1744	-0.2184992
-169.1908	-0.2229917
-170.1961	-0.22546
-171.2066	-0.2295321
-172.221	-0.2311555
-173.21	-0.232376
-174.2124	-0.2352972
-175.2048	-0.2361368
-176.1942	-0.2388743
-177.1904	-0.2416656
-178.176	-0.2429878
-179.1799	-0.2456626
-180.1654	-0.2494464
-181.1653	-0.2528088
-182.1701	-0.256212
-183.1729	-0.2586127
-184.1929	-0.2589013
-185.2057	-0.260516
-186.2071	-0.262173
-187.2117	-0.2659623
-188.2056	-0.2697573
-189.1979	-0.2734424
-190.2054	-0.2760417
-191.1863	-0.2775517
-192.1686	-0.2803982
-193.1748	-0.2827366
-194.1581	-0.2874014
-195.1805	-0.2915837
-196.1992	-0.2939848
-197.1872	-0.2960577
-198.201	-0.2971308
-199.1998	-0.2986855
-200.1838	-0.3015053
-201.1941	-0.3044284
-202.2076	-0.3067291
-203.2059	-0.3081121
-204.1842	-0.3096935
-205.1603	-0.3120758
-206.1282	-0.3156469
-207.1123	-0.3197669
-208.1405	-0.3232146
-209.1527	-0.3265561
-210.1567	-0.3289754
-211.1582	-0.3308858
-212.1544	-0.3328333
-213.1567	-0.3344263
-214.1744	-0.3363988
-215.1705	-0.3376836
-216.1728	-0.3407011
-217.161	-0.3430085
-218.1564	-0.3445209
-219.1619	-0.3469424
-220.1716	-0.3478104
-221.1875	-0.3488722
-222.1898	-0.3514261
-223.2129	-0.3537906
-224.2144	-0.3569156
-225.2229	-0.3596404
-226.2218	-0.3623703
-227.2272	-0.3654226
-228.2292	-0.3672538
-229.226	-0.3699913
-230.227	-0.3713482
-231.1983	-0.3724539
-232.1999	-0.3745441
-233.1777	-0.3762119
-234.1635	-0.3776081
-235.1793	-0.3795187
-236.1519	-0.3802359
-237.1755	-0.3811363
-238.1887	-0.3822087
-239.1754	-0.3820403
-240.1986	-0.3837204
-241.2006	-0.3852759
-242.1851	-0.3878202
-243.1823	-0.3909931
-244.1606	-0.3936071
-245.1631	-0.3971799
-246.1707	-0.3999963
-247.1714	-0.4022519
-248.1746	-0.4045419
-249.1504	-0.4054084
-250.1572	-0.4063279
-251.151	-0.4082835
-252.1532	-0.4090426
-253.1505	-0.409575
-254.1271	-0.4109631
-255.122	-0.4113464
-256.1119	-0.4118999
-257.0943	-0.4140429
-258.1083	-0.4155354
-259.1282	-0.41751
-260.143	-0.4201961
-261.1927	-0.4226632
-262.1872	-0.4249451
-263.1802	-0.4272974
-264.1918	-0.4296399
-265.1869	-0.4306746
-266.1837	-0.4320925
-267.197	-0.4344301
-268.1944	-0.4356338
-269.168	-0.43767
-270.1728	-0.4404677
-271.1588	-0.441539
-272.1664	-0.4431352
-273.1775	-0.4450549
-274.1865	-0.4455907
-275.2003	-0.4466754
-276.1954	-0.4482513
-277.1978	-0.4494504
