VvsRef	A	VvsRef1	A1	VvsRef2	A2	VvsRef3	A3	VvsRef4	A4	VvsRef5	A5	VvsRef6	A6	VvsRef7	A7	VvsRef8	A8	VvsRef9	A9
Ru_1mM_F127_100.DTA-Ciclo-1.txt	Ru_1mM_F127_100.DTA-Ciclo-1.txt	Ru_1mM_F127_200.DTA-Ciclo-1.txt	Ru_1mM_F127_200.DTA-Ciclo-1.txt	Ru_1mM_F127_500.DTA-Ciclo-1.txt	Ru_1mM_F127_500.DTA-Ciclo-1.txt	Ru_1mM_F127_1000.DTA-Ciclo-1.txt	Ru_1mM_F127_1000.DTA-Ciclo-1.txt	Ru_1mM_F127_2000.DTA-Ciclo-1.txt	Ru_1mM_F127_2000.DTA-Ciclo-1.txt	Ru_1mM_F127_5000.DTA-Ciclo-1.txt	Ru_1mM_F127_5000.DTA-Ciclo-1.txt	Ru_1mM_F127_10000.DTA-Ciclo-1.txt	Ru_1mM_F127_10000.DTA-Ciclo-1.txt	Ru_1mM_F127_20000.DTA-Ciclo-1.txt	Ru_1mM_F127_20000.DTA-Ciclo-1.txt	Ru_1mM_F127_50000.DTA-Ciclo-1.txt	Ru_1mM_F127_50000.DTA-Ciclo-1.txt	Ru_1mM_F127_100000.DTA-Ciclo-1.txt	Ru_1mM_F127_100000.DTA-Ciclo-1.txt
-0.483975	-1.19773e-06	-0.483965	-1.00489e-06	-0.483984	-5.11859e-07	-0.483965	-1.65447e-07	-0.483903	7.85187e-07	-0.48395	3.11999e-06	-0.48375	7.43931e-06	-0.483449	1.49133e-05	-0.503154	2.22747e-05	-0.487234	2.22747e-05
-0.481973	-1.18759e-06	-0.481954	-9.87251e-07	-0.481959	-5.92836e-07	-0.481963	-1.40584e-07	-0.4819	7.32458e-07	-0.481967	3.06005e-06	-0.482047	7.80563e-06	-0.482248	1.49133e-05	-0.499149	1.89371e-05	-0.455794	2.89498e-05
-0.479974	-1.17633e-06	-0.47997	-9.82501e-07	-0.479975	-6.74578e-07	-0.479956	-7.76634e-08	-0.479906	8.07389e-07	-0.480185	3.25986e-06	-0.480345	7.28945e-06	-0.479644	1.52456e-05	-0.498147	1.89371e-05	-0.469411	5.8988e-05
-0.477974	-1.16616e-06	-0.477973	-9.64083e-07	-0.47796	-5.89295e-07	-0.477945	-2.01596e-08	-0.477895	7.21358e-07	-0.478062	3.15995e-06	-0.478443	7.45596e-06	-0.478042	1.49133e-05	-0.489436	2.22747e-05	-0.499349	6.23256e-05
-0.475982	-1.15595e-06	-0.475978	-9.585e-07	-0.475982	-4.78593e-07	-0.475976	5.81789e-08	-0.475909	8.07389e-07	-0.47594	3.60621e-06	-0.47624	7.25615e-06	-0.47654	1.59101e-05	-0.497947	1.89371e-05	-0.480625	4.56377e-05
-0.473962	-1.14547e-06	-0.473963	-9.40332e-07	-0.473963	-4.51647e-07	-0.473957	1.11655e-07	-0.473882	7.93513e-07	-0.474177	3.44635e-06	-0.474238	7.42266e-06	-0.473837	1.45811e-05	-0.491439	1.55995e-05	-0.471714	5.56505e-05
-0.471969	-1.13523e-06	-0.471965	-9.34692e-07	-0.471944	-5.32763e-07	-0.471971	1.08599e-07	-0.471904	8.40691e-07	-0.471935	3.44635e-06	-0.472185	7.40601e-06	-0.471534	1.59101e-05	-0.488435	2.56123e-05	-0.470212	5.56505e-05
-0.469972	-1.12518e-06	-0.469969	-9.17719e-07	-0.469975	-6.13741e-07	-0.469964	6.58183e-08	-0.469902	8.46242e-07	-0.470192	3.5729e-06	-0.470333	7.48926e-06	-0.469832	1.52456e-05	-0.48443	2.56123e-05	-0.486933	5.23129e-05
-0.46798	-1.11562e-06	-0.467975	-9.11163e-07	-0.467974	-5.32068e-07	-0.467983	3.02604e-08	-0.467916	8.35141e-07	-0.46829	3.57956e-06	-0.46808	7.88889e-06	-0.467729	1.55778e-05	-0.485832	2.56123e-05	-0.480926	3.89626e-05
-0.465968	-1.10537e-06	-0.465976	-8.9444e-07	-0.465976	-4.12199e-07	-0.465963	-1.79372e-08	-0.465905	9.23947e-07	-0.466187	3.36643e-06	-0.466177	7.60582e-06	-0.465927	1.55778e-05	-0.483329	2.56123e-05	-0.473917	2.56123e-05
