Tension	Intensidad	Tension	Intensidad
mV	uA	mV	uA
Au CNEA Calcinado Ciclo 0 Ru 0.1mM	Au CNEA Calcinado Ciclo 1 Ru 0.1mM	Au CNEA Calcinado Ciclo 1 Ru 0.1mM	Au CNEA Calcinado Ciclo 1 Ru 0.1mM
-198.7789	0.741414	-198.6731	0.671048
-197.7814	0.742205	-197.6835	0.665995
-196.7793	0.74257	-196.6811	0.659111
-195.7964	0.744056	-195.6715	0.652003
-194.7864	0.743101	-194.6562	0.644912
-193.7967	0.739602	-193.6689	0.636845
-192.8017	0.740635	-192.6944	0.629006
-191.7943	0.735295	-191.708	0.621085
-190.8096	0.73516	-190.727	0.615745
-189.7924	0.739654	-189.7059	0.612586
-188.788	0.732959	-188.7174	0.608574
-187.7847	0.72932	-187.7172	0.605011
-186.7587	0.726903	-186.7021	0.601487
-185.7814	0.719399	-185.7104	0.594535
-184.788	0.721806	-184.6929	0.590275
-183.7745	0.725786	-183.6849	0.584974
-182.7977	0.725651	-182.6935	0.57847
-181.7829	0.724033	-181.7126	0.574369
-180.793	0.717041	-180.734	0.568795
-179.8197	0.709285	-179.7425	0.564111
-178.8384	0.702455	-178.7595	0.561061
-177.8488	0.696937	-177.7479	0.559599
-176.8459	0.695813	-176.7357	0.559731
-175.848	0.691136	-175.7368	0.557442
-174.8469	0.687744	-174.734	0.554304
-173.8625	0.688148	-173.7171	0.550823
-172.8746	0.685505	-172.7136	0.544447
-171.8597	0.684906	-171.7131	0.541729
-170.8201	0.685405	-170.7135	0.539748
-169.7989	0.679256	-169.7237	0.535103
-168.7927	0.672926	-168.7117	0.534222
-167.8082	0.665721	-167.7285	0.532704
-166.8334	0.657002	-166.724	0.529596
-165.8406	0.653571	-165.7235	0.529159
-164.8433	0.650841	-164.7408	0.525703
-163.8354	0.650049	-163.7229	0.521971
-162.8362	0.649067	-162.7412	0.521153
-161.8216	0.64552	-161.7538	0.519411
-160.8065	0.643315	-160.7527	0.519851
-159.8036	0.639613	-159.7762	0.518956
-158.7755	0.635541	-158.7509	0.517529
-157.7524	0.632894	-157.714	0.518087
-156.7405	0.62389	-156.7047	0.514752
-155.7448	0.617103	-155.6865	0.51424
-154.7498	0.612126	-154.7099	0.511681
-153.7924	0.603438	-153.7546	0.506564
-152.8256	0.604789	-152.7754	0.506402
-151.8328	0.603544	-151.7787	0.504873
-150.8421	0.599835	-150.7634	0.504782
-149.822	0.598746	-149.7515	0.50704
-148.802	0.592834	-148.7602	0.506179
-147.8071	0.588139	-147.776	0.505837
-146.8198	0.583723	-146.7938	0.504994
-145.8218	0.580533	-145.8068	0.501888
-144.8204	0.578696	-144.7719	0.505214
-143.8007	0.573588	-143.7664	0.503105
