Tension	Intensidad	Tension	Intensidad	Tension	Intensidad	Tension	Intensidad	Tension	Intensidad	Tension	Intensidad
mv	uA	mV	uA	mV	uA	mV	uA	mv	uA	mV	uA
Au Control CNEA Calcinado SOlucion Fe 1mM	Au Control CNEA Calcinado SOlucion Fe 1mM	Au Control INTI As Sputter Fe 1mM	Au Control INTI As Sputter Fe 1mM	Au Control INTI Calcinado Fe 1mM	Au Control INTI Calcinado Fe 1mM	Au Control INTI Calcinado Ru 1mM	Au Control INTI Calcinado Ru 1mM	Au Control CNEA Calcinado Ru amino 1mM	Au Control CNEA Calcinado Ru amino 1mM	Au Control INTI As Sputter Ru 1mM	Au Control INTI As Sputter Ru 1mM
90.25912	-5.661248	90.28577	-5.877601	90.24509	-1.02412	-490.5942	-2.27275	-490.5851	-3.120512	-490.5569	-3.876417
89.25713	-5.655856	89.29909	-5.856685	89.25941	-1.030715	-489.5954	-2.268212	-489.5965	-3.114064	-489.577	-3.862382
88.25468	-5.647351	88.28961	-5.835432	88.28304	-1.037236	-488.5857	-2.263204	-488.6091	-3.106723	-488.5933	-3.846845
87.23077	-5.642373	87.28744	-5.814789	87.29746	-1.042472	-487.6129	-2.259626	-487.6294	-3.098453	-487.6126	-3.832208
86.22583	-5.635568	86.31109	-5.793661	86.29829	-1.047803	-486.6216	-2.255934	-486.653	-3.092321	-486.6197	-3.819235
85.21805	-5.625115	85.29311	-5.773112	85.28053	-1.051047	-485.6267	-2.252834	-485.6398	-3.084296	-485.6176	-3.804555
84.21791	-5.615273	84.29108	-5.755189	84.26989	-1.05598	-484.6125	-2.249492	-484.6391	-3.077034	-484.6254	-3.790472
83.21936	-5.603336	83.28754	-5.734562	83.26489	-1.060796	-483.5964	-2.24456	-483.639	-3.068795	-483.637	-3.778401
82.24573	-5.590563	82.27506	-5.712321	82.26186	-1.065514	-482.5844	-2.2403	-482.6256	-3.058962	-482.6198	-3.76686
81.24744	-5.579532	81.26649	-5.69198	81.28789	-1.071651	-481.5673	-2.23579	-481.6392	-3.051149	-481.6223	-3.755757
80.26916	-5.568871	80.26903	-5.668478	80.26006	-1.076716	-480.5815	-2.231161	-480.6591	-3.042744	-480.6078	-3.744238
79.27904	-5.555183	79.28759	-5.644173	79.2545	-1.081328	-479.6015	-2.228269	-479.6539	-3.037795	-479.5937	-3.7315
78.25954	-5.543237	78.30577	-5.619493	78.26691	-1.085158	-478.5996	-2.224249	-478.6337	-3.031811	-478.609	-3.718153
77.26871	-5.529634	77.32635	-5.592349	77.24963	-1.090204	-477.6123	-2.220401	-477.6233	-3.024767	-477.5864	-3.703381
76.27686	-5.514012	76.33264	-5.563925	76.28101	-1.093911	-476.5903	-2.216776	-476.6107	-3.018974	-476.5939	-3.690207
75.28189	-5.499046	75.32081	-5.537255	75.29954	-1.097778	-475.5741	-2.212942	-475.6027	-3.012591	-475.6026	-3.676009
74.29196	-5.484179	74.31042	-5.512507	74.29398	-1.101813	-474.5963	-2.209892	-474.6404	-3.007242	-474.5982	-3.661328
73.25834	-5.470109	73.29733	-5.488994	73.28047	-1.104386	-473.5846	-2.207726	-473.646	-3.001685	-473.6335	-3.64874
72.24109	-5.455364	72.29844	-5.465206	72.2831	-1.108907	-472.6005	-2.204746	-472.6336	-2.995028	-472.6233	-3.635029
71.25459	-5.44097	71.30502	-5.441352	71.26687	-1.114528	-471.6022	-2.200274	-471.6356	-2.985711	-471.6008	-3.621535
70.26009	-5.424238	70.30311	-5.414477	70.28525	-1.120159	-470.5963	-2.196201	-470.6136	-2.977777	-470.6056	-3.609178
69.295	-5.405768	69.31507	-5.383375	69.31947	-1.125953	-469.592	-2.191296	-469.6039	-2.970734	-469.5904	-3.597519
68.29058	-5.390388	68.31579	-5.354455	68.3175	-1.131582	-468.6168	-2.186621	-468.6118	-2.964517	-468.5963	-3.585858
67.27617	-5.373768	67.30668	-5.325785	67.32495	-1.134921	-467.6387	-2.183262	-467.6079	-2.960469	-467.6148	-3.575069
66.27573	-5.3538	66.30061	-5.297557	66.2995	-1.138568	-466.6349	-2.178771	-466.5953	-2.955309	-466.5995	-3.563206
65.26623	-5.335441	65.29501	-5.273679	65.27707	-1.142822	-465.636	-2.174475	-465.5996	-2.948779	-465.6028	-3.55039
64.28061	-5.315597	64.29872	-5.247308	64.26821	-1.147354	-464.5888	-2.170206	-464.6064	-2.941033	-464.6014	-3.536783
63.27951	-5.295842	63.30542	-5.219495	63.25601	-1.152965	-463.5558	-2.166225	-463.5938	-2.934118	-463.5807	-3.523114
62.27212	-5.2813	62.32153	-5.191986	62.27252	-1.15846	-462.5575	-2.163166	-462.6132	-2.927249	-462.5861	-3.509726
61.27624	-5.265586	61.32147	-5.163023	61.27523	-1.162708	-461.5479	-2.159496	-461.5995	-2.918902	-461.5754	-3.496
60.26949	-5.249944	60.30217	-5.134811	60.28313	-1.166881	-460.5588	-2.156629	-460.587	-2.913017	-460.5699	-3.484197
59.28897	-5.233505	59.3105	-5.103889	59.30469	-1.171567	-459.5628	-2.152971	-459.5978	-2.904953	-459.5739	-3.471471
58.30585	-5.216376	58.30012	-5.073433	58.31033	-1.175258	-458.5831	-2.148618	-458.6004	-2.896343	-458.5586	-3.460071
57.31843	-5.198847	57.32634	-5.042296	57.30858	-1.179293	-457.6012	-2.144866	-457.6053	-2.891104	-457.5611	-3.449985
56.32877	-5.178935	56.34062	-5.009763	56.29932	-1.182905	-456.6098	-2.140318	-456.6331	-2.883605	-456.5632	-3.440176
55.31456	-5.161055	55.34171	-4.981863	55.28272	-1.185131	-455.6182	-2.135949	-455.6452	-2.877998	-455.5747	-3.430394
54.28151	-5.141577	54.32977	-4.955393	54.28048	-1.188844	-454.601	-2.131908	-454.6496	-2.873487	-454.5826	-3.418195
