Tension	Intensidad	Tension	Intensidad
mV	uA	mV	uA
Au F127 INTI Calcinado CIclo 5 RU 1mM	Au F127 INTI Calcinado CIclo 5 RU 1mM	Au Control INTI Calcinado Ru 1mM	Au Control INTI Calcinado Ru 1mM
-87.72313	0.550774	-88.84483	2.124247
-86.71846	0.555928	-87.83558	2.136743
-85.6999	0.561578	-86.83286	2.146936
-84.71152	0.567276	-85.83376	2.157922
-83.70608	0.573275	-84.84628	2.16862
-82.711	0.578377	-83.84967	2.180426
-81.72155	0.583276	-82.84151	2.193595
-80.69548	0.589146	-81.84351	2.207312
-79.69865	0.593294	-80.80074	2.221272
-78.71248	0.598572	-79.79424	2.233771
-77.71555	0.604464	-78.81821	2.245127
-76.72536	0.609047	-77.83141	2.25712
-75.74392	0.615772	-76.8756	2.268631
-74.73528	0.622685	-75.89479	2.281241
-73.73757	0.628624	-74.8699	2.293564
-72.75919	0.634884	-73.8578	2.304344
-71.74254	0.640169	-72.86139	2.314659
-70.75609	0.644697	-71.85345	2.324761
-69.74412	0.649586	-70.87373	2.334662
-68.7263	0.654911	-69.88824	2.345008
-67.73201	0.66085	-68.86172	2.35602
-66.71221	0.667631	-67.84439	2.366118
-65.69421	0.6746	-66.82157	2.37616
-64.69183	0.681503	-65.82584	2.385418
-63.69485	0.687732	-64.83339	2.394917
-62.70388	0.694635	-63.84447	2.404107
-61.71906	0.701218	-62.87991	2.414128
-60.70684	0.707222	-61.8643	2.424236
-59.70638	0.713881	-60.86893	2.432772
-58.68895	0.719699	-59.85511	2.4412
-57.7065	0.72553	-58.82257	2.448128
-56.71876	0.732583	-57.83577	2.454606
-55.71118	0.739343	-56.82855	2.462247
-54.70673	0.745936	-55.83229	2.469702
-53.67937	0.752841	-54.83274	2.477732
-52.67115	0.759392	-53.8403	2.485111
-51.67867	0.765302	-52.83762	2.491876
-50.68974	0.771931	-51.83977	2.498125
-49.722	0.778233	-50.85307	2.50354
-48.70706	0.784601	-49.84412	2.509265
-47.71194	0.791886	-48.83448	2.513865
-46.73516	0.798804	-47.85006	2.517681
-45.70316	0.806225	-46.85173	2.520863
-44.72926	0.813769	-45.84394	2.524587
-43.72195	0.821669	-44.85815	2.527966
-42.70744	0.828766	-43.86132	2.531921
-41.72572	0.836129	-42.85546	2.536716
-40.72453	0.843337	-41.86755	2.53987
-39.72628	0.849945	-40.85986	2.544017
-38.73116	0.857916	-39.84341	2.546715
-37.74364	0.865433	-38.85483	2.548415
-36.73486	0.873493	-37.84005	2.550824
-35.74633	0.880857	-36.85754	2.552228
-34.74036	0.888562	-35.85996	2.553401
-33.73144	0.895798	-34.85723	2.554306
-32.72592	0.903056	-33.87244	2.553758
-31.71006	0.911089	-32.84299	2.553561
-30.72301	0.918199	-31.85642	2.554927
-29.69847	0.92668	-30.85773	2.555603
-28.71205	0.934997	-29.81285	2.557198
-27.7146	0.943369	-28.81868	2.556914
-26.69263	0.952531	-27.81366	2.555143
-25.72089	0.960596	-26.79951	2.553336
