Tension	Intensidad	Tension	Intensidad
mV	uA	mV	uA
Au F127 INTI Baja Temperatura CIclo 1 RU 0.1mM	Au F127 INTI Baja Temperatura CIclo 1 RU 0.1mM	Au F127 INTI Baja Temperatura Ciclo 2  RU 0.1mM	Au F127 INTI Baja Temperatura Ciclo 2  RU 0.1mM
-140.765	0.075335	-140.7464	0.640626
-139.7898	0.073495	-139.7344	0.633714
-138.7988	0.073846	-138.7235	0.629985
-137.8154	0.074131	-137.7409	0.62475
-136.811	0.075914	-136.7253	0.62187
-135.8043	0.076741	-135.7247	0.618687
-134.7981	0.077712	-134.74	0.613335
-133.7847	0.079118	-133.7259	0.611583
-132.7733	0.079633	-132.7031	0.609954
-131.7515	0.08178	-131.6924	0.607158
-130.7524	0.083813	-130.6927	0.602409
-129.7579	0.084626	-129.6963	0.597018
-128.7583	0.086058	-128.7197	0.591327
-127.7955	0.086933	-127.7223	0.585743
-126.7967	0.086997	-126.7125	0.583132
-125.797	0.086853	-125.7089	0.580868
-124.7902	0.08526	-124.7095	0.578076
-123.7753	0.08352	-123.7068	0.57654
-122.7685	0.080905	-122.7156	0.575701
-121.7759	0.08057	-121.7166	0.573593
-120.7695	0.081495	-120.7103	0.572214
-119.7485	0.082132	-119.7134	0.570448
-118.7357	0.08515	-118.6953	0.567381
-117.7394	0.085911	-117.6835	0.564202
-116.7525	0.086831	-116.683	0.5616
-115.7625	0.088296	-115.6838	0.557868
-114.7702	0.089728	-114.6788	0.55415
-113.7632	0.093142	-113.6856	0.551424
-112.7392	0.096984	-112.6616	0.549598
-111.749	0.097852	-111.6606	0.548458
-110.7601	0.097968	-110.6728	0.548432
-109.7481	0.095885	-109.6736	0.547903
-108.7538	0.09194	-108.6872	0.544992
-107.738	0.091604	-107.6744	0.543465
-106.7185	0.090752	-106.6658	0.543862
-105.7086	0.090153	-105.6545	0.542166
-104.7187	0.088858	-104.6556	0.540099
-103.7236	0.086076	-103.6499	0.537479
-102.7168	0.083799	-102.6504	0.531111
-101.7303	0.082327	-101.6515	0.528264
-100.73	0.082486	-100.6765	0.526072
-99.74566	0.083445	-99.68291	0.52416
-98.76138	0.086014	-98.68571	0.522686
-97.75299	0.088331	-97.70604	0.519986
-96.74744	0.091803	-96.69917	0.517924
-95.73147	0.093402	-95.72616	0.516535
-94.75048	0.092836	-94.71849	0.517142
-93.74344	0.09254	-93.71574	0.520336
-92.73792	0.090071	-92.70499	0.520675
-91.72581	0.09056	-91.6741	0.518936
-90.71637	0.092227	-90.67379	0.515661
-89.73605	0.093508	-89.67352	0.509275
-88.74992	0.095497	-88.67113	0.507972
-87.7637	0.097728	-87.67901	0.507267
-86.74486	0.101347	-86.70083	0.506655
-85.74155	0.105729	-85.6763	0.506722
-84.75382	0.114681	-84.66435	0.505185
-83.7443	0.131308	-83.67522	0.503948
-82.75956	0.145067	-82.6606	0.504313
-81.76554	0.155805	-81.67727	0.504742
-80.73181	0.158503	-80.69126	0.503907
-79.74098	0.147815	-79.70053	0.502841
-78.7477	0.136122	-78.70625	0.500028
-77.73977	0.129561	-77.70733	0.497797
-76.77337	0.120633	-76.71976	0.49496
-75.77267	0.113799	-75.73083	0.494164
-74.75749	0.108421	-74.72494	0.493609
-73.77695	0.101643	-73.73835	0.492431
-72.78847	0.099774	-72.73225	0.494237
-71.79411	0.099619	-71.72543	0.4946
-70.81758	0.098538	-70.74124	0.495119
-69.812	0.095129	-69.7365	0.496227
-68.77714	0.093195	-68.72097	0.496169
-67.76657	0.095737	-67.69413	0.495626
-66.76006	0.097794	-66.67932	0.49496
-65.74962	0.096002	-65.67564	0.493346
-64.75711	0.095672	-64.67358	0.492099
-63.7658	0.095029	-63.69719	0.490622
-62.75058	0.102097	-62.70226	0.490978
-61.75775	0.109893	-61.68002	0.491833
-60.74309	0.112529	-60.69519	0.49163
-59.72594	0.10874	-59.67497	0.493515
-58.72436	0.099187	-58.68875	0.49434
-57.71198	0.093783	-57.70904	0.49454
-56.71725	0.090557	-56.70339	0.497829
-55.71467	0.089203	-55.70628	0.499259
-54.7041	0.088412	-54.68095	0.498443
-53.71964	0.088202	-53.67047	0.498905
-52.72456	0.089514	-52.67919	0.495472
-51.73631	0.092114	-51.69285	0.492037
-50.74614	0.094062	-50.69712	0.494178
-49.73348	0.095403	-49.71523	0.494967
-48.73263	0.096646	-48.71477	0.499238
-47.72996	0.096905	-47.70943	0.502414
-46.74209	0.099508	-46.71746	0.502194
-45.74402	0.101591	-45.69885	0.504855
-44.76136	0.101149	-44.72185	0.502
-43.76673	0.100939	-43.72808	0.504024
-42.75693	0.098866	-42.71932	0.504097
-41.76495	0.096905	-41.73724	0.503252
-40.7458	0.097184	-40.72863	0.504482
-39.74975	0.097653	-39.73496	0.503867
-38.77232	0.098046	-38.74532	0.504681
-37.771	0.100416	-37.72755	0.50409
-36.76886	0.105137	-36.73019	0.507472
-35.771	0.107404	-35.70851	0.509301
-34.74815	0.10834	-34.70794	0.51051
-33.75231	0.109574	-33.7275	0.513942
-32.74059	0.106468	-32.70801	0.513713
-31.71195	0.105329	-31.70666	0.51588
-30.69996	0.105745	-30.69995	0.519723
-29.6644	0.105133	-29.68223	0.522045
-28.67668	0.107562	-28.66759	0.523051
-27.6935	0.1096	-27.66507	0.523129
-26.71256	0.110688	-26.67666	0.523042
