Funcionalizado DHDP 3mM	Funcionalizado DHDP 3mM
mV	uA
	
130.3051	-0.3529927
129.3009	-0.3556438
128.3019	-0.3570022
127.3029	-0.357335
126.3071	-0.358646
125.3142	-0.3590194
124.3026	-0.36065
123.315	-0.3630192
122.3233	-0.3661685
121.3311	-0.3692912
120.3426	-0.3712665
119.3304	-0.373873
118.3105	-0.3753302
117.3009	-0.3768089
116.3113	-0.3788994
115.3267	-0.3804612
114.3228	-0.3818531
113.3244	-0.3839473
112.3146	-0.3850724
111.3039	-0.3868695
110.3172	-0.3885826
109.3034	-0.3894279
108.3018	-0.3907018
107.3105	-0.3908753
106.2853	-0.3918218
105.3043	-0.3931007
104.3168	-0.3944695
103.33	-0.3968959
102.3518	-0.3986218
101.371	-0.3999494
100.3801	-0.4021207
99.36198	-0.4035618
98.36832	-0.4048809
97.33308	-0.4075417
96.31147	-0.4086804
95.31676	-0.410063
94.29944	-0.4122261
93.32752	-0.4127979
92.32011	-0.413817
91.31366	-0.4145127
90.32594	-0.4146964
89.30125	-0.4150444
88.32162	-0.4155655
87.3094	-0.4171315
86.3101	-0.41855
85.30891	-0.4203654
84.28117	-0.422642
83.28719	-0.4237975
82.27753	-0.4246335
81.25507	-0.4260893
80.2543	-0.426473
79.26534	-0.4276215
78.269	-0.4293286
77.29671	-0.4300715
76.29948	-0.4313546
75.30511	-0.4320691
74.30391	-0.4330352
73.30296	-0.4337449
72.3177	-0.4334809
71.32184	-0.43442
70.32631	-0.4344451
69.32423	-0.434862
68.31544	-0.4373668
67.28741	-0.4383691
66.28751	-0.4398414
65.28467	-0.4417442
64.29372	-0.441733
63.29372	-0.4420055
62.29746	-0.4438934
61.30177	-0.4450904
60.29123	-0.4467768
59.30552	-0.4488918
58.30469	-0.4479285
57.29459	-0.4481226
56.30617	-0.4478705
55.30968	-0.4475375
54.29731	-0.4488467
53.31783	-0.4489481
52.32603	-0.4506928
51.34029	-0.4513085
50.36215	-0.4525382
49.35448	-0.4550389
48.34381	-0.4556796
47.3294	-0.4573883
46.30572	-0.4581917
45.29631	-0.4583022
44.29302	-0.4593676
43.28162	-0.4600207
42.2898	-0.4607376
41.27234	-0.4612051
40.2732	-0.46087
39.26756	-0.4616978
38.2663	-0.4619583
37.29814	-0.4621528
36.29495	-0.4638063
35.30117	-0.4638194
34.29635	-0.4636415
33.28529	-0.4643849
32.2786	-0.4647663
31.28628	-0.466205
30.2966	-0.4686482
29.29832	-0.4703211
28.31323	-0.4715856
27.31152	-0.4730831
26.32988	-0.4739766
25.33807	-0.4745955
24.34568	-0.4748695
23.36584	-0.4752787
22.34916	-0.475091
21.36835	-0.4751096
20.37613	-0.4759263
19.37173	-0.4759832
18.39233	-0.4759997
17.36215	-0.4771461
16.35431	-0.4767067
15.34628	-0.4764373
14.3256	-0.4771788
13.34057	-0.476553
12.35316	-0.4776322
11.37453	-0.4789029
10.39036	-0.4803059
9.388444	-0.4822807
8.380716	-0.4830284
7.368237	-0.4851608
6.343775	-0.4863943
5.359977	-0.4869134
4.353662	-0.4891506
3.348461	-0.4890367
2.374717	-0.4882596
1.367588	-0.4883806
0.3792376	-0.4871162
-0.5982451	-0.4870795
-1.548574	-0.4867898
-2.500947	-0.4869767
-3.466415	-0.4880345
-4.443084	-0.4885387
-5.470138	-0.4914014
-6.483731	-0.4933252
-7.49209	-0.4939827
-8.501678	-0.4956343
-9.509123	-0.4967212
-10.51456	-0.4963706
-11.51296	-0.4971306
-12.51545	-0.4975496
-13.51208	-0.4970047
-14.5156	-0.4991638
-15.53111	-0.5008584
-16.52433	-0.5019422
-17.52441	-0.5036057
-18.52466	-0.5035561
-19.51225	-0.5039229
-20.50374	-0.5044169
-21.5054	-0.5057662
-22.53378	-0.506619
-23.547	-0.5069687
-24.56446	-0.5080668
-25.56911	-0.5084935
-26.51928	-0.5089642
-27.51695	-0.5108055
-28.5222	-0.5114556
-29.51851	-0.511766
-30.53543	-0.5133296
-31.53441	-0.5133277
-32.51318	-0.5142303
-33.49081	-0.515265
-34.5045	-0.5156931
-35.51798	-0.5168433
-36.53062	-0.5165652
-37.54417	-0.5156412
-38.53392	-0.5150259
-39.51279	-0.5145299
-40.53992	-0.5159841
-41.54015	-0.5180647
-42.56704	-0.5195996
-43.59376	-0.5213671
-44.59429	-0.5221994
-45.59891	-0.5229952
-46.59953	-0.5253878
-47.57661	-0.5257056
-48.55737	-0.5262216
-49.56885	-0.5268754
-50.54892	-0.5258705
-51.52459	-0.5266042
-52.52305	-0.5278406
-53.50974	-0.5293311
-54.49934	-0.5313036
-55.51508	-0.5318764
-56.51303	-0.5319423
-57.49799	-0.5319309
-58.50393	-0.5314987
-59.52812	-0.5336028
-60.53817	-0.5352121
-61.55079	-0.5365986
-62.56109	-0.5393578
-63.5437	-0.5402559
-64.52217	-0.5408057
-65.53093	-0.5421519
-66.52506	-0.5420996
-67.54668	-0.542305
-68.55446	-0.5430205
-69.55087	-0.543193
-70.55397	-0.5436953
-71.54117	-0.5440421
-72.55762	-0.5457227
-73.56528	-0.5463917
-74.55371	-0.5462335
-75.55309	-0.5467856
-76.54311	-0.5454729
-77.5265	-0.5458077
-78.52855	-0.5488515
-79.51704	-0.5512714
-80.52976	-0.5542274
-81.54607	-0.5565653
-82.55627	-0.5573056
-83.57262	-0.5582532
-84.5582	-0.5591064
-85.564	-0.5604662
-86.55023	-0.5621484
-87.5412	-0.5623293
-88.54796	-0.5632321
-89.54034	-0.5637922
-90.52822	-0.5629968
-91.51852	-0.5648124
-92.50389	-0.567005
-93.48853	-0.5676777
-94.51742	-0.5694433
-95.5224	-0.5700687
-96.52335	-0.5708117
-97.52528	-0.5730154
-98.51645	-0.5747699
-99.08216	-0.5458061
-99.1661	-0.5077592
-98.72745	-0.4636796
-97.79936	-0.4156848
