WE1	Volts(mV)	WE1	Volts(mV)	WE1	Volts(mV)	WE1	Volts(mV)	WE1	Volts(mV)
ACV - Primera 1hz.teq4_2col	ACV - Primera 1hz.teq4_2col	ACV - Primera 2hz.teq4_2col	ACV - Primera 2hz.teq4_2col	ACV - Primera 5hz.teq4_2col	ACV - Primera 5hz.teq4_2col	ACV - Primera 10hz - bis.teq4_2col	ACV - Primera 10hz - bis.teq4_2col	ACV - Primera 25hz.teq4_2col	ACV - Primera 25hz.teq4_2col
-258.8991	3.311662	-429.4987	2.354286	-430.463	1.365144	-430.2437	0.609802	-515.11	1.449718
-256.9086	3.339066	-428.6287	1.612648	-429.4977	1.468535	-429.334	0.569063	-514.646	1.460071
-254.9508	3.140343	-427.5274	0.579624	-428.4804	1.475091	-428.3575	0.490449	-514.2015	1.444598
-252.9867	2.817621	-426.5219	0.36132	-427.4818	1.486329	-427.3345	0.410596	-513.7254	1.457128
-250.9421	2.647666	-425.4633	0.855321	-426.3416	1.53447	-426.4117	0.343179	-513.235	1.474299
-248.9258	2.785321	-424.2891	0.693019	-425.3398	1.474957	-425.2926	0.237363	-512.718	1.476564
-247.0625	2.938614	-423.2991	0.068094	-424.3069	1.507559	-424.2848	0.064161	-512.1619	1.487535
-245.0449	2.884816	-422.3243	1.129215	-423.4471	1.500263	-423.3292	0.150996	-511.5936	1.49002
-243.0567	2.622431	-421.2221	2.106072	-422.4633	1.466728	-422.4557	0.422583	-511.059	1.491282
-241.0028	2.437323	-420.2351	2.629222	-421.4869	1.485858	-421.4295	0.670804	-510.5713	1.48153
-238.9001	2.572069	-419.3293	2.535014	-420.4716	1.458514	-420.4101	0.924496	-510.0971	1.469302
-236.9532	2.783778	-418.3249	1.828903	-419.3165	1.449221	-419.3805	1.288417	-509.7124	1.459116
-234.9676	2.808219	-417.4657	0.869434	-418.3106	1.454664	-418.2555	1.688531	-509.2765	1.449924
-233.0045	2.59132	-416.5797	0.088784	-417.2949	1.390689	-417.3286	2.081504	-508.7109	1.467261
-231.0745	2.306821	-415.4623	0.675379	-416.3469	1.399779	-416.3704	2.451835	-508.1277	1.483896
-229.0447	2.252396	-414.4661	0.709321	-415.3467	1.422584	-415.389	2.701541	-507.5892	1.511526
-227.0509	2.348259	-413.4074	0.160932	-414.3904	1.413905	-414.4572	2.932001	-506.9687	1.520146
-225.1651	2.403291	-412.3686	0.745703	-413.3434	1.483934	-413.4404	3.206649	-506.5295	1.528037
-223.0313	2.147023	-411.338	1.755125	-412.4135	1.507063	-412.4389	3.513506	-506.1029	1.542321
-221.0705	1.825723	-410.3041	2.550828	-411.4539	1.540423	-411.3938	3.798219	-505.5557	1.525929
-219.0602	1.766755	-409.3029	2.880532	-410.4511	1.623676	-410.3962	4.050874	-505.1371	1.529728
-216.9888	1.851937	-408.1978	2.727059	-409.4644	1.689951	-409.4205	4.279948	-504.5962	1.540737
-214.9742	1.915857	-407.2378	2.076262	-408.3952	1.739406	-408.314	4.492505	-504.0213	1.523957
-213.0541	1.753469	-406.2845	1.204991	-407.4237	1.826348	-407.3672	4.670039	-503.5735	1.542466
-211.0504	1.449778	-405.3546	0.296909	-406.375	1.880178	-406.3495	4.799538	-503.0732	1.54562
-208.9945	1.312524	-404.4436	0.32552	-405.3692	1.942414	-405.3698	4.840286	-502.5726	1.53341
-207.0443	1.443666	-403.3724	0.534861	-404.3419	2.048908	-404.3851	4.821994	-502.1417	1.546424
-205.0248	1.518825	-402.3286	0.298188	-403.3348	2.06718	-403.3906	4.800874	-501.6979	1.520859
-203.0485	1.3704	-401.232	0.394968	-402.398	2.132952	-402.3583	4.805745	-501.229	1.525367
-201.0557	1.139876	-400.2552	1.216911	-401.4813	2.171102	-401.3499	4.781479	-500.7344	1.54637
-199.1566	1.070109	-399.3145	2.123678	-400.4738	2.156514	-400.3583	4.699709	-500.2401	1.535039
-197.0922	1.203401	-398.4599	2.870827	-399.4509	2.211838	-399.2953	4.575064	-499.6893	1.527848
-195.1176	1.317	-397.5356	3.255437	-398.418	2.203887	-398.2697	4.367628	-499.227	1.507261
-193.1076	1.164995	-396.5804	3.337121	-397.3286	2.204234	-397.1979	4.203328	-498.7445	1.523015
-191.0702	0.891979	-395.5518	3.07518	-396.4258	2.240163	-396.2201	4.040606	-498.2053	1.551769
-189.1603	0.816564	-394.4931	2.459832	-395.4177	2.24264	-395.213	3.746216	-497.6641	1.588954
-187.2025	0.937796	-393.4695	1.760999	-394.4205	2.255211	-394.3168	3.472438	-497.1645	1.603593
-185.2909	1.095343	-392.4468	1.007233	-393.4057	2.303203	-393.3622	3.173158	-496.586	1.588394
-183.2525	1.030197	-391.5355	0.309429	-392.3042	2.31632	-392.4838	2.909163	-496.0765	1.578787
-181.2102	0.775257	-390.5888	0.029231	-391.3492	2.359908	-391.5675	2.792383	-495.5505	1.573813
-179.2432	0.668236	-389.5694	0.157701	-390.3692	2.433026	-390.461	2.657483	-494.9036	1.598744
-177.2032	0.825605	-388.5372	0.099668	-389.338	2.471763	-389.4271	2.471154	-494.436	1.581111
-175.3097	1.047247	-387.4557	0.742623	-388.4682	2.53278	-388.4256	2.269284	-493.8994	1.585144
-173.2397	1.067869	-386.3466	1.490742	-387.4135	2.60092	-387.4475	2.09829	-493.4226	1.598181
-171.1653	0.862542	-385.4692	2.377292	-386.4249	2.666005	-386.5117	1.971098	-492.9705	1.5848
-169.1401	0.583749	-384.4565	3.192264	-385.4772	2.760978	-385.5253	1.847888	-492.536	1.60081
-167.0734	0.557883	-383.4907	3.690809	-384.4509	2.87413	-384.5308	1.762678	-492.1146	1.620611
-165.1341	0.753267	-382.4564	3.95173	-383.4913	2.968138	-383.419	1.701805	-491.588	1.610222
-163.137	0.823772	-381.3406	3.842112	-382.5119	3.071255	-382.4118	1.706	-491.1204	1.633401
-161.1577	0.667966	-380.3292	3.297261	-381.5114	3.177996	-381.4476	1.813588	-490.5977	1.63603
-159.153	0.403824	-379.328	2.620948	-380.4636	3.258307	-380.4824	1.971362	-490.1754	1.618898
-157.152	0.308243	-378.4371	1.828257	-379.5568	3.399113	-379.5896	2.11526	-489.7368	1.629687
-155.1304	0.445438	-377.4379	1.089683	-378.5441	3.488458	-378.5953	2.263775	-489.2141	1.616899
-153.0937	0.634255	-376.4896	0.719835	-377.641	3.561438	-377.6209	2.460931	-488.6356	1.616314
-151.0791	0.588321	-375.4781	0.687543	-376.6583	3.658157	-376.4995	2.701753	-488.0336	1.614026
-149.0576	0.362833	-374.476	1.091211	-375.6568	3.703011	-375.4362	2.991558	-487.5291	1.605418
-147.0262	0.262464	-373.4398	1.868663	-374.7471	3.765213	-374.3891	3.318517	-487.041	1.604211
-145.041	0.421194	-372.3669	2.828877	-373.6276	3.859849	-373.345	3.628264	-486.6477	1.598094
-143.0736	0.624631	-371.3905	3.768455	-372.6591	3.893479	-372.3557	4.006756	-486.1382	1.603442
-140.9801	0.605402	-370.3256	4.395301	-371.5444	3.889445	-371.4384	4.455249	-485.6809	1.61999
-138.9988	0.403647	-369.3937	4.608308	-370.4359	3.961862	-370.4362	4.889444	-485.2199	1.618041
-137.0598	0.233404	-368.4243	4.26051	-369.5077	3.956332	-369.4578	5.319385	-484.6731	1.626206
