E	0s
V	j / ma * cm^2
0.41809	0.352553333333333
0.419084	0.351546666666667
0.420095	0.350683333333333
0.421104	0.349916666666667
0.422089	0.34893
0.423078	0.34817
0.424072	0.347413333333333
0.425047	0.346486666666667
0.426034	0.345593333333333
0.427028	0.344666666666667
0.428008	0.343786666666667
0.428997	0.342976666666667
0.429997	0.34226
0.431019	0.341656666666667
0.432041	0.340866666666667
0.43307	0.34008
0.434092	0.33933
0.435079	0.338376666666667
0.436063	0.33759
0.437042	0.336893333333333
0.438015	0.336053333333333
0.439007	0.335353333333333
0.440005	0.334673333333333
0.441011	0.33395
0.442013	0.333353333333333
0.443017	0.332726666666667
0.444021	0.332146666666667
0.445036	0.331436666666667
0.446037	0.330646666666667
0.447044	0.329943333333333
0.44805	0.329133333333333
0.44902	0.32851
0.450036	0.32805
0.451031	0.327393333333333
0.45202	0.326826666666667
0.453044	0.326233333333333
0.454036	0.325486666666667
0.455048	0.324963333333333
0.456077	0.324346666666667
0.457061	0.32369
0.458056	0.323096666666667
0.459037	0.322383333333333
0.460017	0.321786666666667
0.461018	0.321263333333333
0.462017	0.320696666666667
0.463026	0.320273333333333
0.464014	0.319646666666667
0.465017	0.319013333333333
0.466016	0.318473333333333
0.467001	0.317723333333333
0.468009	0.31723
0.468993	0.316803333333333
0.470003	0.316226666666667
0.47101	0.315873333333333
0.472021	0.315413333333333
0.473022	0.314796666666667
0.474006	0.314353333333333
0.475011	0.313816666666667
0.47599	0.31324
0.476995	0.31271
0.47798	0.31216
0.47898	0.311673333333333
0.479984	0.311213333333333
0.480979	0.310883333333333
0.482014	0.310633333333333
0.483009	0.310103333333333
0.484005	0.309626666666667
0.485002	0.309116666666667
0.485984	0.30836
0.486953	0.30794
0.487962	0.307573333333333
0.488952	0.30709
0.489937	0.306786666666667
0.490949	0.306463333333333
0.491942	0.30609
0.492969	0.305766666666667
0.493983	0.305426666666667
0.495007	0.305113333333333
0.496025	0.304536666666667
0.49701	0.303986666666667
0.497993	0.30352
0.498991	0.30288
0.499974	0.302573333333333
0.501003	0.302366666666667
0.502007	0.301926666666667
0.502997	0.30161
0.503992	0.301266666666667
0.504967	0.300803333333333
0.505967	0.3005
0.506976	0.300183333333333
0.507981	0.2999
0.508992	0.299466666666667
0.510016	0.299076666666667
0.511008	0.298746666666667
0.512008	0.298233333333333
0.513	0.297943333333333
0.513989	0.297683333333333
0.514991	0.297196666666667
0.515976	0.296783333333333
0.516974	0.296476666666667
0.517969	0.296023333333333
0.518972	0.29582
0.519997	0.295693333333333
