Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad
mV	uA	mV	uA	mV	uA	mV	uA	mV	uA	mV	uA
Ciclado - 20 ciclos 1 -63uM	Ciclado - 20 ciclos 1 -63uM	Ciclado - 20 ciclos 2 - 63uM	Ciclado - 20 ciclos 2 - 63uM	Adsorbido 1 - 63uM	Adsorbido 1 - 63uM	Adsorbido 2 - 63uM	Adsorbido 2 - 63uM	Adsorbido 3 - 63uM	Adsorbido 3 - 63uM	Ru 63uM - Au Desnudo	Ru 63uM - Au Desnudo
-507.7804	-2.547159	-507.7774	-1.269889	-507.7465	-2.302891	-507.7369	-1.778901	-507.7498	-1.964337	-507.9061	-1.73358
-506.7745	-2.541831	-506.7692	-1.265374	-506.7407	-2.296458	-506.7274	-1.773273	-506.7448	-1.956331	-506.8883	-1.725854
-505.7867	-2.536483	-505.7777	-1.260855	-505.7585	-2.289428	-505.7534	-1.766599	-505.783	-1.948916	-505.9305	-1.716758
-504.7847	-2.531108	-504.7969	-1.257644	-504.7638	-2.282806	-504.7641	-1.759433	-504.7847	-1.941525	-504.9208	-1.707651
-503.7749	-2.523126	-503.7723	-1.252771	-503.7408	-2.276238	-503.7656	-1.75255	-503.7816	-1.934928	-503.933	-1.702263
-502.778	-2.516399	-502.7698	-1.248134	-502.7457	-2.270746	-502.7935	-1.746493	-502.7781	-1.928429	-502.9532	-1.695642
-501.7747	-2.510552	-501.7784	-1.243313	-501.7362	-2.263183	-501.786	-1.741372	-501.766	-1.919012	-501.922	-1.691504
-500.7582	-2.503126	-500.7615	-1.237072	-500.7509	-2.257112	-500.7969	-1.735855	-500.7797	-1.910742	-500.9271	-1.68651
-499.7745	-2.497397	-499.7934	-1.234018	-499.771	-2.250589	-499.8118	-1.729673	-499.769	-1.903717	-499.913	-1.680574
-498.7934	-2.490011	-498.7986	-1.229731	-498.8023	-2.244227	-498.8154	-1.723834	-498.7914	-1.896168	-498.9125	-1.674672
-497.7879	-2.481416	-497.8042	-1.227005	-497.8061	-2.237673	-497.8307	-1.718638	-497.8073	-1.89124	-497.9164	-1.666765
-496.8166	-2.474594	-496.7952	-1.219885	-496.8004	-2.228914	-496.8197	-1.713048	-496.8058	-1.884769	-496.9131	-1.658116
-495.8123	-2.468961	-495.7901	-1.214548	-495.7953	-2.222286	-495.8186	-1.707866	-495.8071	-1.877064	-495.9196	-1.649206
-494.8178	-2.462064	-494.7953	-1.210683	-494.7759	-2.215132	-494.8088	-1.700202	-494.8316	-1.871508	-494.904	-1.641609
-493.8213	-2.455339	-493.7852	-1.206117	-493.7711	-2.208523	-493.7944	-1.691892	-493.826	-1.862879	-493.9167	-1.632704
-492.7972	-2.449445	-492.7973	-1.205654	-492.7795	-2.202012	-492.793	-1.686122	-492.8342	-1.855827	-492.9267	-1.624717
-491.8038	-2.443602	-491.7864	-1.201975	-491.7798	-2.193681	-491.7687	-1.679563	-491.8361	-1.847642	-491.9225	-1.617579
-490.7867	-2.436954	-490.7473	-1.19883	-490.7661	-2.184043	-490.7711	-1.673163	-490.7932	-1.839555	-490.9248	-1.61124
-489.7742	-2.430314	-489.751	-1.196153	-489.7715	-2.177394	-489.765	-1.666488	-489.7813	-1.833274	-489.8877	-1.60867
-488.7924	-2.424952	-488.7621	-1.191386	-488.765	-2.17091	-488.749	-1.659682	-488.7576	-1.82587	-488.8695	-1.60457
-487.7942	-2.41976	-487.7687	-1.185716	-487.7622	-2.16361	-487.7612	-1.655231	-487.7544	-1.820658	-487.863	-1.59742
-486.7915	-2.41625	-486.7956	-1.180152	-486.7763	-2.157899	-486.7832	-1.6499	-486.7808	-1.814258	-486.88	-1.591003
-485.8275	-2.409493	-485.8132	-1.174267	-485.7918	-2.150286	-485.7954	-1.64456	-485.7947	-1.808177	-485.9115	-1.583421
-484.8145	-2.400915	-484.8116	-1.171166	-484.8015	-2.143939	-484.8193	-1.638744	-484.8176	-1.800841	-484.9259	-1.576983
-483.7995	-2.392088	-483.8193	-1.168764	-483.8188	-2.137983	-483.8257	-1.630558	-483.8235	-1.793187	-483.9478	-1.571933
-482.8244	-2.383582	-482.8221	-1.165087	-482.8335	-2.131013	-482.8211	-1.625855	-482.8178	-1.784666	-482.934	-1.564436
-481.8141	-2.378835	-481.7994	-1.162027	-481.8247	-2.124595	-481.8163	-1.620595	-481.8351	-1.776329	-481.9446	-1.556107
-480.8385	-2.372422	-480.8043	-1.159523	-480.811	-2.116828	-480.8098	-1.613208	-480.8292	-1.769734	-480.9453	-1.547416
-479.8484	-2.364863	-479.7918	-1.157987	-479.8092	-2.110339	-479.8118	-1.606112	-479.8346	-1.763639	-479.9401	-1.542447
-478.8294	-2.357338	-478.7989	-1.154848	-478.7855	-2.10361	-478.8062	-1.597996	-478.8419	-1.75816	-478.9592	-1.536391
-477.8202	-2.348443	-477.7903	-1.149743	-477.7883	-2.095182	-477.8008	-1.591013	-477.822	-1.751804	-477.9371	-1.531228
-476.7998	-2.341324	-476.7874	-1.146064	-476.7857	-2.087771	-476.8045	-1.584913	-476.8315	-1.745746	-476.9405	-1.528489
-475.8019	-2.334655	-475.7981	-1.142326	-475.7959	-2.079939	-475.802	-1.578999	-475.8453	-1.736948	-475.9604	-1.522744
-474.7963	-2.326714	-474.8113	-1.138675	-474.8131	-2.073325	-474.7919	-1.573012	-474.8306	-1.729596	-474.9615	-1.518276
-473.8026	-2.322039	-473.8428	-1.137614	-473.8135	-2.067653	-473.8011	-1.567586	-473.841	-1.72362	-473.9681	-1.513192
-472.8168	-2.314505	-472.8483	-1.132175	-472.8292	-2.060689	-472.794	-1.561736	-472.8393	-1.716052	-472.9643	-1.50515
-471.8262	-2.306934	-471.8309	-1.123996	-471.8144	-2.054494	-471.7813	-1.5551	-471.8295	-1.707215	-471.9622	-1.496644
-470.8364	-2.302535	-470.8166	-1.120186	-470.7886	-2.048613	-470.7812	-1.547937	-470.83	-1.699326	-470.9508	-1.489832
-469.826	-2.292907	-469.8008	-1.114394	-469.7941	-2.042015	-469.7921	-1.540199	-469.8193	-1.689444	-469.9522	-1.4829
-468.8185	-2.286035	-468.7991	-1.111153	-468.7742	-2.036189	-468.7919	-1.532781	-468.8051	-1.681514	-468.9665	-1.47729
-467.8035	-2.280504	-467.8271	-1.108945	-467.7741	-2.027852	-467.8008	-1.526817	-467.8	-1.676707	-467.9549	-1.472244
-466.7975	-2.27184	-466.8021	-1.103927	-466.7795	-2.01953	-466.8057	-1.521097	-466.8183	-1.669434	-466.9657	-1.4658
-465.7906	-2.267681	-465.7876	-1.100444	-465.7645	-2.012829	-465.7912	-1.514142	-465.8109	-1.663522	-465.9507	-1.460907
-464.7745	-2.261156	-464.7676	-1.094043	-464.7484	-2.005315	-464.7657	-1.507596	-464.7975	-1.656931	-464.9186	-1.45463
-463.778	-2.256145	-463.7364	-1.088897	-463.7348	-1.999309	-463.7704	-1.503348	-463.7798	-1.651313	-463.9059	-1.449767
-462.772	-2.252879	-462.7568	-1.085588	-462.7547	-1.991663	-462.7692	-1.497292	-462.7704	-1.644812	-462.8975	-1.444105
-461.778	-2.245347	-461.7562	-1.080353	-461.7411	-1.983507	-461.7696	-1.490929	-461.7905	-1.638678	-461.905	-1.438116
-460.8108	-2.240682	-460.7768	-1.076348	-460.7678	-1.977515	-460.7992	-1.484808	-460.8139	-1.631506	-460.9239	-1.43566
-459.8245	-2.234031	-459.78	-1.073392	-459.7867	-1.970688	-459.7841	-1.475029	-459.8456	-1.622936	-459.9518	-1.428625
-458.8378	-2.225382	-458.7628	-1.068048	-458.7689	-1.96347	-458.7748	-1.466748	-458.8385	-1.61507	-458.9334	-1.422414
-457.8641	-2.218625	-457.7792	-1.06415	-457.807	-1.956648	-457.7872	-1.459046	-457.8205	-1.60672	-457.9547	-1.416533
-456.8473	-2.211075	-456.7761	-1.060422	-456.8138	-1.948514	-456.8063	-1.4526	-456.8143	-1.600327	-456.9578	-1.407793
-455.8506	-2.202172	-455.8154	-1.056752	-455.8099	-1.940969	-455.8177	-1.448104	-455.8069	-1.592157	-455.933	-1.398667
-454.8521	-2.195784	-454.8513	-1.054215	-454.833	-1.934772	-454.8462	-1.443196	-454.7952	-1.58524	-454.9638	-1.39365
-453.8482	-2.190266	-453.8466	-1.049475	-453.8182	-1.92647	-453.8507	-1.440713	-453.798	-1.576172	-453.9543	-1.387231
-452.8258	-2.187361	-452.8475	-1.046549	-452.8099	-1.917795	-452.8232	-1.435408	-452.7841	-1.566142	-452.963	-1.382945
-451.8149	-2.182785	-451.8133	-1.043092	-451.8021	-1.909032	-451.816	-1.428394	-451.7618	-1.557485	-451.9409	-1.380197
-450.8236	-2.175596	-450.7829	-1.039298	-450.7888	-1.902198	-450.8107	-1.421525	-450.7704	-1.549875	-450.9146	-1.375464
-449.8207	-2.16911	-449.7939	-1.036743	-449.7968	-1.896552	-449.8045	-1.413792	-449.7834	-1.543753	-449.9151	-1.371047
-448.8419	-2.160762	-448.7954	-1.032058	-448.7874	-1.888443	-448.8142	-1.407157	-448.7973	-1.536852	-448.9107	-1.363632
-447.8492	-2.153768	-447.8073	-1.027595	-447.8029	-1.88221	-447.8215	-1.400123	-447.8137	-1.53023	-447.9305	-1.359207
-446.8616	-2.148391	-446.8273	-1.024142	-446.8054	-1.873793	-446.8193	-1.391902	-446.8188	-1.522582	-446.9588	-1.354092
-445.8342	-2.139702	-445.7931	-1.021518	-445.8074	-1.865251	-445.7956	-1.382615	-445.8079	-1.516249	-445.9554	-1.350393
-444.8306	-2.131542	-444.7739	-1.020968	-444.836	-1.85986	-444.7836	-1.373535	-444.8104	-1.510285	-444.9564	-1.348234
