Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad
mV	uA	mV	uA	mV	uA	mV	uA	mV	uA	mV	uA	mV	uA	mV	uA	mV	uA
Ciclado - 20  ciclos 1 - 1.575mM	Ciclado - 20  ciclos 1 - 1.575mM	Ciclado - 6  ciclos 2 - 1.575mM	Ciclado - 6  ciclos 2 - 1.575mM	Adsorbido 1 - 1.575mM	Adsorbido 1 - 1.575mM	Adsorbido 2 - 1.575mM	Adsorbido 2 - 1.575mM	Adsorbido 3 - 1.575mM	Adsorbido 3 - 1.575mM	Adsorbido 4 - 1.575mM	Adsorbido 4 - 1.575mM	Adsorbido 5 - 1.575mM	Adsorbido 5 - 1.575mM	Adsorbido 6 - 1.575mM	Adsorbido 6 - 1.575mM	Ru 1.575mM - Au Desnudo	Ru 1.575mM - Au Desnudo
-526.6971	-4.908266	-526.6584	-0.121494	-526.6873	-3.107658	-526.7097	-1.253202	-526.6981	-2.056094	-526.7142	-1.722804	-526.7216	-1.166698	-526.6821	-1.73412	-526.7936	-2.419247
-525.6777	-4.896165	-525.6459	-0.094875	-525.6976	-3.083563	-525.7136	-1.230852	-525.6747	-2.028158	-525.6952	-1.696896	-525.7227	-1.1433	-525.6711	-1.711652	-525.7764	-2.406253
-524.6862	-4.885675	-524.6581	-0.07025	-524.7098	-3.061853	-524.7156	-1.210479	-524.6478	-2.004745	-524.707	-1.677356	-524.7338	-1.123495	-524.725	-1.692543	-524.7863	-2.397468
-523.6848	-4.873568	-523.6728	-0.044101	-523.7121	-3.038324	-523.7209	-1.188743	-523.6577	-1.977054	-523.7093	-1.654873	-523.7257	-1.102314	-523.7104	-1.670606	-523.802	-2.383664
-522.6632	-4.861459	-522.6748	-0.015664	-522.6956	-3.0128	-522.7016	-1.164765	-522.6296	-1.948689	-522.7051	-1.631649	-522.7408	-1.079958	-522.7073	-1.648206	-522.7662	-2.370674
-521.6582	-4.850443	-521.6701	0.009824	-521.6924	-2.990472	-521.709	-1.143577	-521.6454	-1.92243	-521.7179	-1.611692	-521.7432	-1.061992	-521.7203	-1.628626	-521.7793	-2.361209
-520.6692	-4.838717	-520.66	0.036519	-520.6821	-2.966538	-520.6844	-1.121103	-520.6877	-1.89388	-520.7112	-1.5865	-520.7231	-1.04117	-520.6967	-1.607649	-520.7525	-2.345973
-519.6721	-4.827256	-519.6385	0.062154	-519.6852	-2.94287	-519.6924	-1.099112	-519.6711	-1.868206	-519.7017	-1.563665	-519.7133	-1.020988	-519.6921	-1.586695	-519.7509	-2.333456
-518.683	-4.816641	-518.6315	0.087156	-518.6892	-2.921634	-518.6917	-1.07901	-518.6881	-1.84318	-518.7064	-1.542425	-518.7111	-1.003235	-518.721	-1.567632	-518.7687	-2.321486
-517.6909	-4.805415	-517.6349	0.116204	-517.6664	-2.898899	-517.6774	-1.057767	-517.6885	-1.817886	-517.7008	-1.516175	-517.7068	-0.982995	-517.6936	-1.545966	-517.7507	-2.306582
