Sin Funcionalizar	Sin Funcionalizar
mV	uA
Primeros 45	Primeros 45
395.3074	0.0146534
394.3086	0.01413433
393.3064	0.0137125
392.2982	0.01330512
391.2952	0.01214453
390.2917	0.0118413
389.293	0.01202856
388.298	0.01159006
387.2946	0.01243583
386.2881	0.01304252
385.2923	0.01190698
384.2918	0.01112941
383.2814	0.009878547
382.2959	0.00883398
381.2911	0.008166394
380.2916	0.007720497
379.3033	0.006829425
378.2806	0.006301625
377.2717	0.006062013
376.2595	0.006285136
375.2684	0.006731615
374.2751	0.006450791
373.2757	0.006718637
372.2794	0.00610406
371.2684	0.005306771
370.2906	0.004938648
369.2981	0.004866004
368.2959	0.005141612
367.2902	0.005216681
366.275	0.004940247
365.2805	0.00353112
364.2773	0.002203903
363.2867	0.001261544
362.2821	1.70E-04
361.2769	-6.37E-04
360.2957	-9.60E-04
359.2957	-0.001760336
358.3055	-0.002062422
357.335	-0.001687596
356.329	-0.002661657
355.3164	-0.003008258
354.2995	-0.003483788
353.2758	-0.003983015
352.271	-0.003770054
351.2847	-0.003035448
350.2778	-0.002449096
349.2643	-0.002344428
348.2551	-0.002688256
347.2405	-0.003824783
346.2455	-0.004966655
345.2614	-0.006169463
344.2555	-0.006645584
343.2662	-0.007676921
342.2617	-0.008658788
341.24	-0.009337936
340.2501	-0.01037505
339.2302	-0.01063334
338.2278	-0.01032548
337.2332	-0.01092427
336.2489	-0.01085844
335.2747	-0.0107763
334.281	-0.01140866
333.2946	-0.01089393
332.2857	-0.01089356
331.2861	-0.01094846
330.3003	-0.01108143
329.2732	-0.0120437
328.2682	-0.01315236
327.2639	-0.01475715
326.2444	-0.01586413
325.2694	-0.01597638
324.2763	-0.01662258
323.2823	-0.01635273
322.3135	-0.01630462
321.313	-0.01695533
320.3183	-0.01710644
319.3202	-0.01767574
318.3035	-0.01837178
317.3009	-0.01903438
316.2861	-0.01956466
315.2726	-0.01976283
314.2821	-0.02052236
313.2894	-0.02085941
312.3142	-0.02078403
311.3085	-0.02173869
310.2912	-0.0223846
309.2997	-0.02254836
308.2849	-0.02380211
307.2889	-0.02445199
306.3037	-0.02429759
305.2987	-0.02528304
304.2871	-0.0249493
303.3026	-0.02440669
302.2839	-0.02535961
301.2615	-0.02599481
300.2682	-0.02700299
299.2455	-0.02909238
298.2623	-0.02923113
297.2455	-0.02983043
296.2419	-0.02974649
295.2429	-0.02925605
294.237	-0.02979329
293.2613	-0.02949345
292.2526	-0.03079972
291.2609	-0.03143222
290.2546	-0.03186553
289.2504	-0.03316543
288.2546	-0.03332851
287.2593	-0.03379133
286.2754	-0.03440718
285.2805	-0.03483992
284.2786	-0.03574121
283.2775	-0.03640401
282.2711	-0.0370398
281.2683	-0.03697509
280.2899	-0.03703611
279.2938	-0.03741816
278.2762	-0.0379912
277.2748	-0.03817692
276.2584	-0.03892118
275.2573	-0.03900437
274.2585	-0.03920479
273.2701	-0.04080042
272.2633	-0.04178734
271.2608	-0.04322439
270.2755	-0.04422621
269.2903	-0.04443806
268.31	-0.04442782
267.3265	-0.04472556
266.3295	-0.04572548
265.2981	-0.04719858
264.2784	-0.04809286
263.2612	-0.04884328
262.2407	-0.04895435
261.2598	-0.0481038
260.2626	-0.0487452
259.2494	-0.04926538
258.2823	-0.04959115
257.2661	-0.05114118
256.2765	-0.05183606
255.2907	-0.05239196
254.2724	-0.05397595
253.2875	-0.05504141
252.286	-0.05612071
251.2948	-0.05742244
250.3074	-0.0575874
249.3069	-0.05746634
248.2981	-0.05769052
247.2833	-0.05814992
246.2776	-0.0592435
245.2749	-0.06023143
244.2823	-0.06166661
243.2852	-0.06223848
242.2788	-0.06239559
241.268	-0.06288962
240.276	-0.06330354
239.261	-0.06448992
238.2582	-0.06575145
237.2616	-0.0673866
236.2441	-0.06884023
235.2614	-0.07018487
234.26	-0.07161736
233.2623	-0.07290726
232.2846	-0.0732367
231.27	-0.07348504
230.282	-0.07391319
229.3048	-0.07335171
228.2954	-0.07421509
227.3195	-0.07530621
226.3209	-0.07646079
225.298	-0.07862669
224.2918	-0.08016679
223.2978	-0.08082188
222.2909	-0.08113695
221.2966	-0.08137029
220.3053	-0.0821053
219.3018	-0.08391437
218.3059	-0.0861487
217.315	-0.08809166
216.3152	-0.08958396
215.3074	-0.09107544
214.3034	-0.09263104
213.2971	-0.0938847
212.2882	-0.09535842
211.2984	-0.09599621
210.3122	-0.09579515
209.328	-0.09676991
208.3292	-0.09742793
207.3378	-0.09849357
206.34	-0.1002552
205.3458	-0.1009501
204.3599	-0.1012608
203.3579	-0.1019118
202.3413	-0.1029482
201.3284	-0.1050039
200.3299	-0.107404
199.3151	-0.1100651
198.336	-0.1119454
197.3493	-0.113011
196.3364	-0.1147886
195.3352	-0.1163112
194.3095	-0.1179298
193.2869	-0.1196585
192.2823	-0.120369
191.2726	-0.1203991
190.2847	-0.121236
189.2869	-0.1220974
188.2925	-0.1233985
187.296	-0.1247976
186.2746	-0.1257375
185.2645	-0.1262648
184.2675	-0.1264825
183.2677	-0.1274578
182.275	-0.1291789
181.3035	-0.1306799
180.3029	-0.1329731
179.2973	-0.1347111
178.3193	-0.1349487
177.3074	-0.1366103
176.3242	-0.1376633
175.345	-0.1390152
174.3326	-0.1408089
173.3269	-0.1419051
172.2983	-0.1429864
171.2823	-0.1433474
170.2839	-0.1441825
169.2536	-0.1450168
168.2665	-0.1453946
167.2721	-0.1467146
166.264	-0.147445
165.3004	-0.147329
164.2859	-0.1485085
163.2728	-0.1494496
162.2868	-0.1502799
161.2861	-0.1519958
160.2929	-0.1524591
159.3049	-0.1528432
158.3024	-0.1532746
157.2924	-0.1538152
156.3068	-0.154522
155.3098	-0.1552148
154.3049	-0.155411
153.3162	-0.1559046
152.3155	-0.1559647
151.3254	-0.1565892
150.3136	-0.1573173
149.2983	-0.1576969
148.2888	-0.1590547
147.2856	-0.1592053
146.2841	-0.1600584
145.2798	-0.1606753
144.2769	-0.1607531
143.2494	-0.1615424
142.2622	-0.1623649
141.2565	-0.1621678
140.2462	-0.1620644
139.2595	-0.1618433
138.26	-0.1613582
137.2723	-0.161468
136.2793	-0.1617203
135.2726	-0.1611927
134.2393	-0.1612734
133.2604	-0.1611489
132.2545	-0.1614772
131.2604	-0.162239
130.2887	-0.1613618
129.2741	-0.1613008
128.2898	-0.1605303
127.3143	-0.1601999
126.3175	-0.1616068
125.3148	-0.1627009
124.3159	-0.1634274
123.2994	-0.1638501
122.3041	-0.1635079
121.3142	-0.1629862
120.3129	-0.1629272
119.3221	-0.1634189
118.2936	-0.1635855
117.2808	-0.1634454
116.2929	-0.1634637
115.2987	-0.1624211
114.3284	-0.1617994
113.3449	-0.1619813
112.336	-0.1617194
111.3239	-0.1620814
110.3219	-0.1618421
109.3165	-0.1613327
108.3378	-0.1612082
107.3449	-0.1613411
106.3584	-0.1617955
105.3552	-0.1618839
104.3467	-0.161572
103.3479	-0.1607041
102.3614	-0.1602676
101.3741	-0.1597701
100.3587	-0.1602206
99.37349	-0.1607555
98.35574	-0.1608091
97.34974	-0.160986
96.35448	-0.1600413
95.34688	-0.1593579
94.35101	-0.1589292
93.33617	-0.1585975
92.34056	-0.1590045
91.33162	-0.1591831
90.32822	-0.1593422
89.33711	-0.1593348
88.32649	-0.1592798
87.32669	-0.1596514
86.31787	-0.1597435
85.32945	-0.1590063
84.34521	-0.1582044
83.3459	-0.1569766
82.34466	-0.1560861
81.33837	-0.1568692
80.32666	-0.1572918
79.30402	-0.1576826
78.29681	-0.1576685
77.2903	-0.1569593
76.29982	-0.1556405
75.32036	-0.1548086
74.33856	-0.1548417
73.33986	-0.1547858
72.34732	-0.1555266
71.35854	-0.1558849
70.34732	-0.1558256
69.3569	-0.1557665
68.3423	-0.1561576
67.32043	-0.1562537
66.33906	-0.1558066
65.33726	-0.155652
64.35453	-0.1545513
63.36863	-0.1535669
62.34317	-0.152949
61.33861	-0.1523683
60.3246	-0.152569
59.31815	-0.1530815
58.34005	-0.1531097
57.32868	-0.152399
56.33568	-0.1513298
55.34222	-0.1508664
54.33779	-0.1511204
53.36037	-0.1515582
52.35759	-0.1520317
51.36463	-0.152127
50.36132	-0.1519789
49.36594	-0.1521639
48.36016	-0.1523571
47.34715	-0.1523259
46.33746	-0.1522607
45.32485	-0.1516573
44.31473	-0.1513612
43.31984	-0.1507441
42.33016	-0.1506418
41.31313	-0.151003
40.3241	-0.1503634
39.32053	-0.1495552
38.31325	-0.1483774
37.33326	-0.1471829
36.32967	-0.1473182
35.33201	-0.1481955
34.32611	-0.1485206
33.31554	-0.1497475
32.32425	-0.1498522
31.33631	-0.1496157
30.3459	-0.1499343
29.35582	-0.1495179
